Knob,Setting,Realized test false-alarm,Detection (knob),"Detection (plain threshold, matched FA)",Δ detection,Youden's J
Tribble boost θ,0,0.8366 ± 0.0702,0.997 ± 0.001,0.997,-0.0001 ± 0.0004,+0.160
Tribble boost θ,0.2,0.7466 ± 0.0542,0.996 ± 0.001,0.995,+0.0005 ± 0.0007,+0.249
Tribble boost θ,0.4,0.6797 ± 0.0432,0.995 ± 0.001,0.994,+0.0006 ± 0.0006,+0.315
Tribble boost θ,0.5,0.6496 ± 0.0418,0.995 ± 0.001,0.994,+0.0007 ± 0.0007,+0.345
Tribble boost θ,0.6,0.6226 ± 0.0456,0.995 ± 0.001,0.994,+0.0007 ± 0.0006,+0.372
Tribble boost θ,0.7,0.5811 ± 0.0370,0.995 ± 0.001,0.994,+0.0007 ± 0.0007,+0.413
Tribble boost θ,0.8,0.5361 ± 0.0433,0.995 ± 0.001,0.994,+0.0010 ± 0.0006,+0.458
Tribble boost θ,0.9,0.5148 ± 0.0484,0.995 ± 0.001,0.993,+0.0011 ± 0.0005,+0.480
Tribble boost θ,0.95,0.4359 ± 0.0533,0.995 ± 0.001,0.993,+0.0012 ± 0.0006,+0.559
Tribble boost θ,0.99,0.2818 ± 0.0516,0.994 ± 0.001,0.993,+0.0003 ± 0.0006,+0.712
Tribble boost θ,0.999,0.2242 ± 0.0560,0.993 ± 0.001,0.993,+0.0001 ± 0.0007,+0.769
iForest contamination,0.001,0.0135 ± 0.0113,0.464 ± 0.481,0.464,-0.0000 ± 0.0000,+0.451
iForest contamination,0.005,0.0846 ± 0.0257,0.949 ± 0.010,0.949,-0.0003 ± 0.0004,+0.864
iForest contamination,0.01,0.1528 ± 0.0143,0.983 ± 0.010,0.984,-0.0003 ± 0.0006,+0.831
iForest contamination,0.02,0.1741 ± 0.0034,0.993 ± 0.000,0.993,-0.0000 ± 0.0000,+0.819
iForest contamination,0.05,0.2383 ± 0.0066,0.993,0.993,+0.0000,+0.755
iForest contamination,0.1,0.3209 ± 0.0053,0.993 ± 0.000,0.993,+0.0000,+0.672
iForest contamination,0.2,0.5763 ± 0.0353,0.996 ± 0.001,0.996,+0.0000 ± 0.0000,+0.420
iForest contamination,0.3,0.7546 ± 0.0275,0.999 ± 0.001,0.999,+0.0000 ± 0.0000,+0.244
OC-SVM ν,0.001,0.1380 ± 0.0105,0.993 ± 0.000,0.993,+0.0001 ± 0.0001,+0.855
OC-SVM ν,0.005,0.1515 ± 0.0113,0.993,0.993,+0.0000 ± 0.0001,+0.842
OC-SVM ν,0.01,0.1515 ± 0.0086,0.993,0.993,+0.0000,+0.842
OC-SVM ν,0.02,0.2352 ± 0.0242,0.995 ± 0.001,0.995,+0.0006 ± 0.0004,+0.760
OC-SVM ν,0.05,0.3196 ± 0.0082,0.996 ± 0.000,0.996,+0.0000 ± 0.0000,+0.677
OC-SVM ν,0.1,0.3851 ± 0.0056,0.996,0.996,-0.0000 ± 0.0000,+0.611
OC-SVM ν,0.2,0.4594 ± 0.0065,0.996,0.996,-0.0001 ± 0.0000,+0.537
OC-SVM ν,0.3,0.4843 ± 0.0009,0.996,0.997,-0.0001 ± 0.0001,+0.512
