Dataset,Task,Multiplier,Raw MF,Dedup MF (mean±std),Delta (mean±std),CI excludes zero
Glass,classification,0.1,81.4,72.10 ± 4.58,+0.00000 ± 0.00000,no
Glass,classification,0.3,81.4,72.10 ± 4.58,+0.00000 ± 0.00000,no
Glass,classification,1,81.4,71.00 ± 4.27,+0.00154 ± 0.00487,no
Glass,classification,2,81.4,68.90 ± 4.93,-0.00154 ± 0.00487,no
Glass,classification,3,81.4,66.50 ± 5.28,-0.00154 ± 0.00487,no
Glass,classification,5,81.4,61.30 ± 5.77,+0.00000 ± 0.00725,no
Glass,classification,7,81.4,56.90 ± 5.24,-0.01077 ± 0.01460,yes
Glass,classification,10,81.4,51.50 ± 5.04,-0.03077 ± 0.03161,yes
Glass,classification,15,81.4,42.00 ± 4.14,-0.03538 ± 0.05332,no
Glass,classification,20,81.4,34.10 ± 3.00,-0.06000 ± 0.06044,yes
Glass,classification,30,81.4,20.80 ± 2.70,-0.06154 ± 0.08237,yes
Glass,classification,50,81.4,10.90 ± 2.28,-0.15385 ± 0.14916,yes
Glass,classification,70,81.4,5.40 ± 1.26,-0.16923 ± 0.06647,yes
Glass,classification,100,81.4,2.10 ± 0.88,-0.20923 ± 0.04303,yes
Wine,classification,0.1,16.6,16.60 ± 0.70,+0.00000 ± 0.00000,no
Wine,classification,0.3,16.6,16.60 ± 0.70,+0.00000 ± 0.00000,no
Wine,classification,1,16.6,16.60 ± 0.70,+0.00000 ± 0.00000,no
Wine,classification,2,16.6,16.60 ± 0.70,+0.00000 ± 0.00000,no
Wine,classification,3,16.6,16.60 ± 0.70,+0.00000 ± 0.00000,no
Wine,classification,5,16.6,16.50 ± 0.71,-0.00741 ± 0.02342,no
Wine,classification,7,16.6,16.20 ± 0.42,-0.00741 ± 0.02342,no
Wine,classification,10,16.6,15.00 ± 1.05,-0.01667 ± 0.02217,yes
Wine,classification,15,16.6,13.60 ± 1.96,-0.02222 ± 0.01913,yes
Wine,classification,20,16.6,11.60 ± 1.17,-0.02963 ± 0.03924,yes
Wine,classification,30,16.6,9.60 ± 0.97,-0.06296 ± 0.05395,yes
Wine,classification,50,16.6,6.10 ± 0.74,-0.21111 ± 0.14323,yes
Wine,classification,70,16.6,5.00 ± 0.94,-0.30926 ± 0.20879,yes
Wine,classification,100,16.6,2.10 ± 0.57,-0.62593 ± 0.01913,yes
BreastCancer,classification,0.1,16.4,16.40 ± 1.90,+0.00000 ± 0.00000,no
BreastCancer,classification,0.3,16.4,16.40 ± 1.90,+0.00000 ± 0.00000,no
BreastCancer,classification,1,16.4,16.40 ± 1.90,+0.00000 ± 0.00000,no
BreastCancer,classification,2,16.4,16.40 ± 1.90,+0.00000 ± 0.00000,no
BreastCancer,classification,3,16.4,16.20 ± 1.87,-0.00117 ± 0.00370,no
BreastCancer,classification,5,16.4,16.20 ± 1.87,-0.00117 ± 0.00370,no
BreastCancer,classification,7,16.4,15.90 ± 1.60,-0.00117 ± 0.00370,no
BreastCancer,classification,10,16.4,14.40 ± 1.35,-0.00351 ± 0.00565,no
BreastCancer,classification,15,16.4,12.40 ± 1.51,-0.00292 ± 0.00925,no
BreastCancer,classification,20,16.4,10.20 ± 0.92,-0.00117 ± 0.01287,no
BreastCancer,classification,30,16.4,8.20 ± 0.79,-0.00994 ± 0.01871,no
BreastCancer,classification,50,16.4,5.50 ± 0.53,-0.05497 ± 0.07881,no
BreastCancer,classification,70,16.4,3.30 ± 0.82,-0.34854 ± 0.27197,yes
BreastCancer,classification,100,16.4,1.00 ± 0.00,-0.56374 ± 0.02048,yes
Digits,classification,0.1,172.2,163.60 ± 3.37,+0.00000 ± 0.00000,no
Digits,classification,0.3,172.2,163.10 ± 3.28,+0.00019 ± 0.00059,no
Digits,classification,1,172.2,157.50 ± 3.47,+0.00093 ± 0.00293,no
Digits,classification,2,172.2,148.30 ± 2.98,-0.00093 ± 0.00279,no
Digits,classification,3,172.2,135.60 ± 4.67,-0.00167 ± 0.00582,no
Digits,classification,5,172.2,115.30 ± 5.01,-0.00278 ± 0.01515,no
Digits,classification,7,172.2,96.10 ± 6.24,-0.01167 ± 0.02227,no
Digits,classification,10,172.2,75.00 ± 4.08,-0.01889 ± 0.02850,no
Digits,classification,15,172.2,53.10 ± 4.12,-0.02463 ± 0.03405,yes
Digits,classification,20,172.2,38.40 ± 2.46,-0.03056 ± 0.02881,yes
Digits,classification,30,172.2,22.60 ± 2.55,-0.03556 ± 0.04775,yes
Digits,classification,50,172.2,12.90 ± 0.99,-0.02574 ± 0.06687,no
Digits,classification,70,172.2,10.20 ± 1.14,-0.02333 ± 0.06496,no
Digits,classification,100,172.2,3.50 ± 1.18,-0.13389 ± 0.08745,yes
