buckets,order,scheme,R²,RMSE (MPa),tail RMSE (MPa),max err (MPa),min bucket n
3,0th,hybrid *(shipped)*,-0.434 ± 0.254,19.48 ± 0.99,20.70 ± 2.17,56.3 ± 5.6,343
3,0th,quantile,0.242 ± 0.073,14.24 ± 0.79,22.15 ± 1.85,40.9 ± 3.0,343
3,0th,uniform,0.394 ± 0.068,12.73 ± 0.95,18.55 ± 1.36,38.2 ± 3.5,132
3,1st,hybrid *(shipped)*,0.787 ± 0.027,7.54 ± 0.41,7.93 ± 1.10,28.6 ± 6.5,343
3,1st,quantile,0.789 ± 0.027,7.51 ± 0.41,8.08 ± 1.10,28.5 ± 6.6,343
3,1st,uniform,0.796 ± 0.019,7.38 ± 0.36,8.10 ± 1.21,29.2 ± 5.9,132
3,2nd,hybrid *(shipped)*,0.832 ± 0.028,6.68 ± 0.57,6.58 ± 0.93,29.1 ± 8.5,343
3,2nd,quantile,0.836 ± 0.026,6.61 ± 0.54,6.59 ± 0.89,28.4 ± 8.3,343
3,2nd,uniform,0.841 ± 0.022,6.50 ± 0.45,6.50 ± 0.86,28.5 ± 6.8,132
4,0th,hybrid *(shipped)*,0.048 ± 0.150,15.89 ± 0.71,20.01 ± 1.47,49.7 ± 6.7,257
4,0th,quantile,0.319 ± 0.051,13.50 ± 0.68,21.40 ± 1.54,39.6 ± 2.6,257
4,0th,uniform,0.416 ± 0.074,12.47 ± 0.61,19.02 ± 1.31,39.6 ± 5.4,75
4,1st,hybrid *(shipped)*,0.797 ± 0.025,7.36 ± 0.36,8.18 ± 1.17,28.4 ± 6.8,257
4,1st,quantile,0.795 ± 0.026,7.40 ± 0.37,8.30 ± 1.21,28.3 ± 7.0,257
4,1st,uniform,0.799 ± 0.027,7.32 ± 0.43,7.90 ± 1.16,29.6 ± 5.7,75
4,2nd,hybrid *(shipped)*,0.848 ± 0.027,6.35 ± 0.47,6.73 ± 0.78,29.3 ± 5.8,257
4,2nd,quantile,0.850 ± 0.026,6.32 ± 0.46,6.70 ± 0.75,28.8 ± 6.0,257
4,2nd,uniform,0.845 ± 0.022,6.42 ± 0.51,6.29 ± 0.77,28.4 ± 8.9,75
6,0th,hybrid *(shipped)*,0.326 ± 0.113,13.39 ± 1.11,16.44 ± 1.75,46.3 ± 6.6,171
6,0th,quantile,0.439 ± 0.074,12.24 ± 0.94,17.66 ± 2.22,38.9 ± 4.4,171
6,0th,uniform,0.541 ± 0.048,11.06 ± 0.41,15.03 ± 1.46,36.7 ± 5.2,39
6,1st,hybrid *(shipped)*,0.808 ± 0.023,7.15 ± 0.29,7.37 ± 0.98,31.3 ± 5.7,171
6,1st,quantile,0.806 ± 0.024,7.18 ± 0.30,7.44 ± 0.99,30.8 ± 5.8,171
6,1st,uniform,0.812 ± 0.028,7.07 ± 0.39,7.46 ± 1.17,29.3 ± 6.4,39
6,2nd,hybrid *(shipped)*,0.852 ± 0.020,6.28 ± 0.39,6.34 ± 1.11,32.9 ± 6.1,171
6,2nd,quantile,0.853 ± 0.021,6.26 ± 0.41,6.34 ± 1.07,32.5 ± 6.1,171
6,2nd,uniform,0.853 ± 0.019,6.26 ± 0.37,6.40 ± 0.79,28.2 ± 6.9,39
