N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,6.4×,9.5×,yes
200,0.0008 ± 0.0000 s,0.0005 ± 0.0000 s,0.0001 ± 0.0000 s,13.3×,8.8×,yes
300,0.0029 ± 0.0003 s,0.0009 ± 0.0001 s,0.0001 ± 0.0000 s,23.2×,7.6×,yes
500,0.0134 ± 0.0002 s,0.0025 ± 0.0001 s,0.0003 ± 0.0000 s,41.0×,7.6×,yes
750,0.0498 ± 0.0016 s,0.0052 ± 0.0001 s,0.0007 ± 0.0001 s,69.6×,7.3×,yes
"1,000",0.1330 ± 0.0071 s,0.0086 ± 0.0002 s,0.0010 ± 0.0001 s,137.0×,8.9×,yes
"1,250",not run (> cap),0.0133 ± 0.0002 s,0.0012 ± 0.0001 s,N/A,10.8×,yes
"1,500",not run (> cap),0.0194 ± 0.0004 s,0.0018 ± 0.0001 s,N/A,10.8×,yes
"2,000",not run (> cap),0.0330 ± 0.0006 s,0.0031 ± 0.0001 s,N/A,10.7×,yes
"2,500",not run (> cap),0.0510 ± 0.0013 s,0.0051 ± 0.0001 s,N/A,9.9×,yes
"3,000",not run (> cap),0.0743 ± 0.0015 s,0.0076 ± 0.0004 s,N/A,9.8×,yes
