kernel,conditions,CPU arm,GPU arm,CPU (s),GPU (s),GPU speedup (CPU/GPU),exactness vs CPU,kind
Boruvka MST (device),"N=4,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.01518 ± 0.00212,0.00312 ± 0.00031,4.86x,order 1.000 (bit-identical),estimate (3 seeds)
VAT front end,"N=4,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.03556 ± 0.00281,0.01352 ± 0.00043,2.63x,order 1.000 (bit-identical),estimate (3 seeds)
VAT front end,"N=4,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.07805 ± 0.00241,0.01352 ± 0.00043,5.77x,order 1.000 (bit-identical),estimate (3 seeds)
Boruvka MST (device),"N=8,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.05542 ± 0.00105,0.00934 ± 0.00107,5.93x,order 1.000 (bit-identical),estimate (3 seeds)
VAT front end,"N=8,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.12476 ± 0.00100,0.04706 ± 0.00901,2.65x,order 1.000 (bit-identical),estimate (3 seeds)
VAT front end,"N=8,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.30553 ± 0.00459,0.04706 ± 0.00901,6.49x,order 1.000 (bit-identical),estimate (3 seeds)
Boruvka MST (device),"N=16,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.20656 ± 0.00796,0.03078 ± 0.00040,6.71x,order 1.000 (bit-identical),estimate (3 seeds)
VAT front end,"N=16,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.46918 ± 0.00738,0.13489 ± 0.01269,3.48x,order 1.000 (bit-identical),estimate (3 seeds)
VAT front end,"N=16,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),1.15501 ± 0.01224,0.13489 ± 0.01269,8.56x,order 1.000 (bit-identical),estimate (3 seeds)
Boruvka MST (device),"N=32,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.78624 ± 0.00886,0.13072 ± 0.00698,6.01x,order 1.000 (bit-identical),estimate (3 seeds)
VAT front end,"N=32,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,2.38408 ± 0.03460,0.49474 ± 0.01208,4.82x,order 1.000 (bit-identical),estimate (3 seeds)
VAT front end,"N=32,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),7.09898 ± 1.10796,0.49474 ± 0.01208,14.35x,order 1.000 (bit-identical),estimate (3 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.29097 ± 0.05649,0.03711 ± 0.01944,7.84x,labels 1.000; max abs Δcentre 7.0e-06,estimate (3 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.15114 ± 0.03027,0.03711 ± 0.01944,4.07x,labels 1.000; max abs Δcentre 1.4e-13,estimate (3 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),1.42547 ± 0.53130,0.26555 ± 0.21184,5.37x,labels 1.000; max abs Δcentre 4.8e-06,estimate (3 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.71055 ± 0.25921,0.26555 ± 0.21184,2.68x,labels 1.000; max abs Δcentre 2.5e-13,estimate (3 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),8.58238 ± 9.14767,0.96894 ± 0.69931,8.86x,labels 1.000; max abs Δcentre 7.7e-07,estimate (3 seeds)
Fuzzy C-Means,"N=500,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),4.27861 ± 4.51850,0.96894 ± 0.69931,4.42x,labels 1.000; max abs Δcentre 4.4e-13,estimate (3 seeds)
Pairwise distances,"N=16,000, d=10, float64, high_precision",pcvat.pairwise_distances_c (C/OpenMP),gpu.pairwise_distances_gpu (tiled -> host),0.28541 ± 0.01449,0.92812 ± 0.09699,0.31x,max abs Δ = 7.1e-15,estimate (3 seeds)
