Model,Preprocessing,Refinement,R²,RMSE
flat MoG-TSK 0th,log+standardized,closed-form only,0.038 ± 0.115,16.15 ± 0.81
flat MoG-TSK 1st,log+standardized,closed-form only,0.776 ± 0.035,7.78 ± 0.50
flat MoG-TSK 2nd,log+standardized,closed-form only,0.817 ± 0.026,7.04 ± 0.55
flat MoG-TSK 0th,log+standardized,refined,0.461 ± 0.116,12.01 ± 0.98
flat MoG-TSK 1st,log+standardized,refined,0.822 ± 0.032,6.92 ± 0.54
flat MoG-TSK 2nd,log+standardized,refined,0.868 ± 0.020,5.96 ± 0.32
fuzzy tree,raw,n/a,0.559 ± 0.079,10.91 ± 1.04
mixture of experts (HME),raw,n/a,0.705 ± 0.043,8.92 ± 0.39
CART (reference),raw,n/a,0.816 ± 0.037,7.01 ± 0.48
Random Forest (reference),raw,n/a,0.913 ± 0.014,4.84 ± 0.27
fuzzy tree,log+standardized,n/a,0.714 ± 0.046,8.78 ± 0.60
mixture of experts (HME),log+standardized,n/a,0.813 ± 0.039,7.07 ± 0.54
CART (reference),log+standardized,n/a,0.816 ± 0.037,7.01 ± 0.49
Random Forest (reference),log+standardized,n/a,0.913 ± 0.014,4.84 ± 0.28
