N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,6.46×,3.19×,2.92×,4.00×,4.60×,8.00×
300,3.0×,23.38×,5.91×,6.55×,9.00×,11.15×,27.00×
500,5.0×,113.16×,15.72×,17.56×,25.00×,33.74×,125.00×
750,7.5×,571.28×,50.13×,40.61×,56.25×,80.86×,421.88×
"1,000",10.0×,1242.84×,79.17×,63.50×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,122.86×,101.78×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,169.19×,137.86×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,237.38×,275.73×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,323.13×,480.17×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,454.50×,793.21×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.15** (6 pts),**1.86** (11 pts),**1.95** (11 pts),2.00,~2.1,3.00
