N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,10.5×,14.2×,yes
200,0.0008 ± 0.0000 s,0.0005 ± 0.0000 s,0.0000 ± 0.0000 s,23.4×,15.5×,yes
300,0.0028 ± 0.0001 s,0.0010 ± 0.0001 s,0.0001 ± 0.0000 s,37.6×,12.8×,yes
500,0.0136 ± 0.0002 s,0.0025 ± 0.0001 s,0.0002 ± 0.0000 s,67.9×,12.7×,yes
750,0.0685 ± 0.0033 s,0.0081 ± 0.0006 s,0.0005 ± 0.0000 s,148.3×,17.5×,yes
"1,000",0.1491 ± 0.0013 s,0.0128 ± 0.0003 s,0.0007 ± 0.0000 s,206.3×,17.6×,yes
"1,250",not run (> cap),0.0198 ± 0.0008 s,0.0012 ± 0.0001 s,N/A,17.1×,yes
"1,500",not run (> cap),0.0273 ± 0.0023 s,0.0016 ± 0.0001 s,N/A,17.4×,yes
"2,000",not run (> cap),0.0382 ± 0.0020 s,0.0031 ± 0.0005 s,N/A,12.2×,yes
"2,500",not run (> cap),0.0520 ± 0.0016 s,0.0055 ± 0.0008 s,N/A,9.5×,yes
"3,000",not run (> cap),0.0732 ± 0.0030 s,0.0090 ± 0.0013 s,N/A,8.1×,yes
