kernel,conditions,CPU arm,GPU arm,CPU (s),GPU (s),GPU speedup (CPU/GPU),exactness vs CPU,kind
Boruvka MST (device),"N=4,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.01711 ± 0.00211,0.00315 ± 0.00025,5.42x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.03749 ± 0.00318,0.01646 ± 0.00054,2.28x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.09080 ± 0.00296,0.01646 ± 0.00054,5.52x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=8,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.07193 ± 0.01202,0.00882 ± 0.00048,8.16x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.13907 ± 0.01171,0.04006 ± 0.00321,3.47x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.34548 ± 0.01291,0.04006 ± 0.00321,8.62x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=16,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.23737 ± 0.00972,0.03337 ± 0.00264,7.11x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.52247 ± 0.02036,0.13943 ± 0.01037,3.75x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),1.33380 ± 0.04338,0.13943 ± 0.01037,9.57x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=32,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.88163 ± 0.02440,0.13568 ± 0.00776,6.50x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,2.54027 ± 0.05560,0.50594 ± 0.01405,5.02x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=32,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),6.13825 ± 0.11260,0.50594 ± 0.01405,12.13x,order 1.000 (bit-identical),estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),2.31482 ± 2.00948,0.17571 ± 0.11563,13.17x,labels 1.000 ± 0.001; max abs Δcentre 4.9e-05,estimate (10 seeds)
Fuzzy C-Means,"N=50,000, k=10, d=20, MATCHED formulation",gram + 2 GEMM in NumPy/BLAS (this file),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),0.21707 ± 0.18042,0.17571 ± 0.11563,1.24x,labels 1.000; max abs Δcentre 1.6e-13,estimate (10 seeds)
Fuzzy C-Means,"N=200,000, k=10, d=20",fcm.fuzzy_c_means (NumPy broadcasting -- DIFFERENT algorithm),gpu.fuzzy_c_means_gpu (gram + 2 GEMM),10.56364 ± 10.55491,0.41724 ± 0.17474,25.32x,labels 1.000; max abs Δcentre 4.8e-06,estimate (10 seeds)
