N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.49×,3.18×,3.46×,4.00×,4.60×,8.00×
300,3.0×,27.38×,6.13×,7.43×,9.00×,11.15×,27.00×
500,5.0×,129.98×,16.29×,19.53×,25.00×,33.74×,125.00×
750,7.5×,474.87×,34.08×,42.44×,56.25×,80.86×,421.88×
"1,000",10.0×,1237.78×,56.69×,59.63×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,88.60×,94.00×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,123.99×,109.33×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,212.74×,179.74×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,330.11×,315.28×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,456.93×,452.90×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.09** (6 pts),**1.82** (11 pts),**1.76** (11 pts),2.00,~2.1,3.00
