N,classical O(N³) (s),stage 1 O(N²logN) (s),stage 2 O(N²) (s),cls/s2,s1/s2,orders identical
100,0.0001 ± 0.0000 s,0.0002 ± 0.0000 s,0.0000 ± 0.0000 s,6.3×,9.2×,yes
200,0.0008 ± 0.0000 s,0.0005 ± 0.0000 s,0.0001 ± 0.0000 s,13.6×,8.4×,yes
300,0.0029 ± 0.0004 s,0.0009 ± 0.0001 s,0.0001 ± 0.0000 s,23.1×,7.6×,yes
500,0.0137 ± 0.0003 s,0.0025 ± 0.0001 s,0.0003 ± 0.0000 s,41.8×,7.6×,yes
750,0.0499 ± 0.0010 s,0.0052 ± 0.0001 s,0.0007 ± 0.0001 s,70.3×,7.4×,yes
"1,000",0.1300 ± 0.0011 s,0.0087 ± 0.0002 s,0.0010 ± 0.0001 s,130.4×,8.7×,yes
"1,250",not run (> cap),0.0136 ± 0.0005 s,0.0016 ± 0.0002 s,N/A,8.6×,yes
"1,500",not run (> cap),0.0190 ± 0.0003 s,0.0018 ± 0.0002 s,N/A,10.4×,yes
"2,000",not run (> cap),0.0326 ± 0.0009 s,0.0030 ± 0.0001 s,N/A,10.9×,yes
"2,500",not run (> cap),0.0506 ± 0.0020 s,0.0053 ± 0.0004 s,N/A,9.6×,yes
"3,000",not run (> cap),0.0701 ± 0.0017 s,0.0076 ± 0.0003 s,N/A,9.3×,yes
