family,n,flat k (mean±std),flat ARI/level,flat PoU err max (mean±std),two-stage granularity (mode; agreement),two-stage ARI/level,two-stage PoU err max (mean±std)
single_scale,100,2.7 ± 1.0,[0.49 ± 0.21],7.77e-17 ± 8.67e-17,"[5, 2] (6/10)",[0.98 ± 0.07],1.67e-16 ± 7.45e-17
single_scale,250,2.7 ± 0.5,[0.49 ± 0.09],3.33e-17 ± 7.11e-17,"[5, 2] (6/10)",[1.00],1.55e-16 ± 8.88e-17
single_scale,500,2.9 ± 0.8,[0.54 ± 0.18],6.66e-17 ± 7.36e-17,"[5, 2] (6/10)",[1.00],1.55e-16 ± 7.36e-17
single_scale,1000,2.6 ± 0.5,[0.47 ± 0.09],4.44e-17 ± 7.36e-17,"[5, 2] (5/10)",[1.00],2.22e-16 ± 8.60e-17
single_scale,2000,2.6 ± 0.5,[0.48 ± 0.10],4.44e-17 ± 7.36e-17,"[5, 2] (7/10)",[1.00],1.33e-16 ± 8.31e-17
single_scale,5000,2.6 ± 0.5,[0.47 ± 0.09],5.55e-17 ± 7.45e-17,"[5, 2] (6/10)",[1.00],1.44e-16 ± 7.11e-17
many_scale,100,2.0,"[0.24, 0.49, 1.00]",0.00e+00,"[8, 4, 2] (10/10)","[1.00, 1.00, 1.00]",4.44e-17 ± 5.44e-17
many_scale,250,2.0,"[0.24, 0.50, 1.00]",0.00e+00,"[8, 4, 2] (10/10)","[1.00, 1.00, 1.00]",4.44e-17 ± 5.44e-17
many_scale,500,2.0,"[0.25, 0.50, 1.00]",0.00e+00,"[8, 4, 2] (10/10)","[1.00, 1.00, 1.00]",2.22e-17 ± 4.44e-17
many_scale,1000,2.0,"[0.25, 0.50, 1.00]",0.00e+00,"[8, 4, 2] (10/10)","[1.00, 1.00, 1.00]",4.44e-17 ± 5.44e-17
many_scale,2000,2.0,"[0.25, 0.50, 1.00]",0.00e+00,"[8, 4, 2] (10/10)","[1.00, 1.00, 1.00]",5.55e-17 ± 5.55e-17
many_scale,5000,2.0,"[0.25, 0.50, 1.00]",0.00e+00,"[8, 4, 2] (10/10)","[1.00, 1.00, 1.00]",8.88e-17 ± 4.44e-17
log_separated,100,2.7 ± 0.5,[0.85 ± 0.19],6.66e-17 ± 7.36e-17,[3] (4/10),[0.73 ± 0.20],7.77e-17 ± 7.11e-17
log_separated,250,3.0,[0.98 ± 0.02],7.77e-17 ± 8.67e-17,"[2, 2] (3/10)",[0.72 ± 0.19],1.67e-16 ± 5.55e-17
log_separated,500,3.0,[0.98 ± 0.02],6.66e-17 ± 7.36e-17,[3] (2/10),[0.73 ± 0.20],2.55e-16 ± 1.22e-16
log_separated,1000,3.1 ± 0.3,[0.99 ± 0.01],8.88e-17 ± 8.31e-17,[3] (8/10),[0.94 ± 0.12],1.33e-16 ± 1.29e-16
log_separated,2000,3.0,[0.99 ± 0.01],4.44e-17 ± 7.36e-17,[3] (10/10),[0.99 ± 0.01],4.44e-17 ± 7.36e-17
log_separated,5000,4.0 ± 0.8,[0.99 ± 0.00],1.78e-16 ± 5.44e-17,[4] (4/10),[0.99 ± 0.00],1.78e-16 ± 5.44e-17
