N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.51×,3.23×,3.61×,4.00×,4.60×,8.00×
300,3.0×,26.45×,6.17×,7.42×,9.00×,11.15×,27.00×
500,5.0×,132.82×,16.81×,20.33×,25.00×,33.74×,125.00×
750,7.5×,484.06×,34.53×,42.67×,56.25×,80.86×,421.88×
"1,000",10.0×,1269.20×,57.76×,61.41×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,98.24×,96.94×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,128.30×,108.12×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,215.90×,191.03×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,328.23×,316.37×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,459.00×,462.68×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.11** (6 pts),**1.82** (11 pts),**1.77** (11 pts),2.00,~2.1,3.00
