kernel,conditions,CPU arm,GPU arm,CPU (s),GPU (s),GPU speedup (CPU/GPU),exactness vs CPU,kind
Boruvka MST (device),"N=4,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.01453 ± 0.00123,0.00351 ± 0.00019,4.14x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.03532 ± 0.00199,0.01573 ± 0.00425,2.25x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=4,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.08745 ± 0.00560,0.01573 ± 0.00425,5.56x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=8,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.06229 ± 0.01309,0.01191 ± 0.00157,5.23x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.13099 ± 0.01397,0.04601 ± 0.00911,2.85x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=8,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),0.30113 ± 0.01017,0.04601 ± 0.00911,6.54x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=16,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.21282 ± 0.01261,0.04792 ± 0.00386,4.44x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, order only",pairwise_distances_c + vat_prim_mst_c,gpu_vat.vat_gpu,0.50816 ± 0.02025,0.16774 ± 0.01204,3.03x,order 1.000 (bit-identical),estimate (10 seeds)
VAT front end,"N=16,000, float64, UNMATCHED work",pairwise_distances_c + compute_vat_c (also reorders D),gpu_vat.vat_gpu (order only),1.24742 ± 0.03071,0.16774 ± 0.01204,7.44x,order 1.000 (bit-identical),estimate (10 seeds)
Boruvka MST (device),"N=32,000, float64, matrix resident",pcvat.vat_prim_mst_c (Cython dense Prim),gpu_vat.boruvka_mst_device,0.82615 ± 0.04086,0.19872 ± 0.01434,4.16x,order 1.000 (bit-identical),estimate (10 seeds)
