family,n,seed,flat_k,flat_ari_per_level,flat_pou_max,flat_pou_mean,ms_granularities,ms_ari_per_level,ms_pou_max,ms_pou_mean
single_scale,100,0,3,[0.4724689165186501],1.1102230246251565e-16,2.2204460492503132e-17,[5],[1.0],1.1102230246251565e-16,2.2204460492503132e-17
single_scale,100,1,2,[0.36538461538461536],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,2.2204460492503132e-17
single_scale,100,2,2,[0.36538461538461536],1.1102230246251565e-16,1.1102230246251565e-16,"[5, 2]",[1.0],2.220446049250313e-16,9.992007221626409e-17
single_scale,100,3,2,[0.36538461538461536],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,2.2204460492503132e-17
single_scale,100,4,2,[0.36538461538461536],0.0,0.0,"[5, 2]",[1.0],0.0,0.0
single_scale,100,5,2,[0.36538461538461536],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,3.3306690738754695e-17
single_scale,100,6,4,[0.7755102040816326],2.220446049250313e-16,8.881784197001253e-17,[4],[0.7755102040816326],2.220446049250313e-16,8.881784197001253e-17
single_scale,100,7,5,[1.0],2.220446049250313e-16,6.661338147750939e-17,[5],[1.0],2.220446049250313e-16,6.661338147750939e-17
single_scale,100,8,3,[0.4724689165186501],1.1102230246251565e-16,8.881784197001253e-17,[5],[1.0],2.220446049250313e-16,6.661338147750939e-17
single_scale,100,9,2,[0.36538461538461536],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,4.4408920985006264e-17
single_scale,250,0,3,[0.6115444617784711],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,2.2204460492503132e-17
single_scale,250,1,3,[0.47871598046057223],0.0,0.0,[5],[1.0],0.0,0.0
single_scale,250,2,2,[0.3712121212121212],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,1.1102230246251566e-17
single_scale,250,3,3,[0.47871598046057223],0.0,0.0,[5],[1.0],2.220446049250313e-16,6.661338147750939e-17
single_scale,250,4,2,[0.3712121212121212],0.0,0.0,"[5, 2]",[1.0],1.1102230246251565e-16,1.1102230246251566e-17
single_scale,250,5,3,[0.6115444617784711],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,2.2204460492503132e-17
single_scale,250,6,3,[0.6115444617784711],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,3.3306690738754695e-17
single_scale,250,7,3,[0.47871598046057223],1.1102230246251565e-16,6.661338147750939e-17,[5],[1.0],0.0,0.0
single_scale,250,8,2,[0.3712121212121212],0.0,0.0,"[5, 2]",[1.0],2.220446049250313e-16,3.3306690738754695e-17
single_scale,250,9,3,[0.47871598046057223],2.220446049250313e-16,4.4408920985006264e-17,[5],[1.0],2.220446049250313e-16,4.4408920985006264e-17
single_scale,500,0,2,[0.3731155778894472],1.1102230246251565e-16,1.1102230246251565e-16,"[5, 2]",[1.0],1.1102230246251565e-16,5.551115123125783e-17
