detector,auroc,auprc,fpr@95tpr
Mahalanobis (stats),0.8245248231440012,0.882165131799711,0.623229461756374
OneClassSVM (hidden),0.8182774937882792,0.9095818852913855,0.7223796033994334
Mahalanobis (fused),0.7955750391694494,0.900102708401257,0.7393767705382436
IsolationForest (hidden),0.7847381581654455,0.8933304537259685,0.7280453257790368
IsolationForest (stats),0.7687142924968742,0.8302298998099695,0.6373937677053825
Mahalanobis (hidden),0.7627162232737746,0.8847493304539573,0.7790368271954674
perplexity,0.7197920458322122,0.8255957398004883,0.6260623229461756
mean entropy,0.6916810419864845,0.8110772259429333,0.7280453257790368
max-softmax (1-maxp),0.6377063319986707,0.7620041962013255,0.7280453257790368
margin (neg),0.5916169465238102,0.7196318080933877,0.7932011331444759
