detector,auroc,auprc,fpr@95tpr
perplexity,0.6661629512271426,0.9132052873924785,0.7903682719546742
mean entropy,0.661379807181748,0.9125678029648672,0.8385269121813032
Mahalanobis (stats),0.6450097729405788,0.9143501700460406,0.9150141643059491
max-softmax (1-maxp),0.6258398845042206,0.898464951042399,0.8583569405099151
IsolationForest (stats),0.6248654606197852,0.899850593666937,0.9405099150141643
Mahalanobis (fused),0.6106408810284405,0.8930940222623889,0.8753541076487252
margin (neg),0.6043308047105287,0.8903360255595358,0.8725212464589235
Mahalanobis (hidden),0.5795899096182382,0.8797086895079378,0.886685552407932
IsolationForest (hidden),0.5711587751247807,0.8741706253767731,0.8951841359773371
OneClassSVM (hidden),0.5356604699621998,0.8717066874270655,0.9546742209631728
