seed,condition,metric,mf,tnorm,sconorm,de_morgan,auroc,fpr95,n_params,n_mfs,train_ms,samples_per_sec
0,length+template,bhattacharyya,gaussian,min/max,min/max,True,0.8764187983343248,0.48292682926829267,79,39,2333.2682000036584,466810.88789050677
0,length+template,bhattacharyya,gaussian,probability,probability,True,0.8726353361094585,0.4878048780487805,79,39,2333.2682000036584,542112.9103878142
0,length+template,bhattacharyya,gaussian,luk,luk,True,,,79,39,2333.2682000036584,369702.43317154335
0,length+template,bhattacharyya,gaussian,hamacher,hamacher,True,0.875669244497323,0.4682926829268293,79,39,2333.2682000036584,399026.76029574196
0,length+template,bhattacharyya,gaussian,einstein,einstein,True,0.8705889351576444,0.48292682926829267,79,39,2333.2682000036584,471643.85237424297
0,length+template,bhattacharyya,gaussian,hamacher,einstein,False,0.8736823319452707,0.48292682926829267,79,39,2333.2682000036584,506485.4795663159
0,length+template,bhattacharyya,gaussian,probability,einstein,False,0.872266508030934,0.4926829268292683,79,39,2333.2682000036584,552262.92593381
0,length+template,bhattacharyya,gaussian,min/max,hamacher,False,0.8770612730517551,0.4682926829268293,79,39,2333.2682000036584,480093.6778992855
0,length+template,bhattacharyya,trapezoid,min/max,min/max,True,0.5634146341463415,0.8731707317073171,55,27,7705.052700010128,501651.78325612075
0,length+template,bhattacharyya,trapezoid,probability,probability,True,0.5634146341463415,0.8731707317073171,55,27,7705.052700010128,497633.2068833897
0,length+template,bhattacharyya,trapezoid,luk,luk,True,,,55,27,7705.052700010128,504553.28390326275
0,length+template,bhattacharyya,trapezoid,hamacher,hamacher,True,0.5634146341463415,0.8731707317073171,55,27,7705.052700010128,401331.24186721584
0,length+template,bhattacharyya,trapezoid,einstein,einstein,True,0.5634146341463415,0.8731707317073171,55,27,7705.052700010128,471589.6026106946
0,length+template,bhattacharyya,trapezoid,hamacher,einstein,False,0.5634146341463415,0.8731707317073171,55,27,7705.052700010128,325758.7811780075
0,length+template,bhattacharyya,trapezoid,probability,einstein,False,0.5634146341463415,0.8731707317073171,55,27,7705.052700010128,398949.11102707806
0,length+template,bhattacharyya,trapezoid,min/max,hamacher,False,0.5634146341463415,0.8731707317073171,55,27,7705.052700010128,431306.54049740883
0,length+template,wasserstein,gaussian,min/max,min/max,True,0.8764187983343248,0.48292682926829267,79,39,1026.1310000059893,664505.6748993164
0,length+template,wasserstein,gaussian,probability,probability,True,0.8726353361094585,0.4878048780487805,79,39,1026.1310000059893,645059.7773657737
0,length+template,wasserstein,gaussian,luk,luk,True,,,79,39,1026.1310000059893,598452.7744106516
0,length+template,wasserstein,gaussian,hamacher,hamacher,True,0.875669244497323,0.4682926829268293,79,39,1026.1310000059893,456875.413598296
0,length+template,wasserstein,gaussian,einstein,einstein,True,0.8705889351576444,0.48292682926829267,79,39,1026.1310000059893,544271.8685992002
