model,template,seed,n,entropy,fis,fusion
smollm2,algorithm,0,158,0.8767825668963307,0.8881589488863963,0.9152379426373979
smollm2,conjecture,0,54,0.8052126200274349,0.7530864197530864,0.8395061728395061
smollm2,constant,0,44,0.8078512396694215,0.9772727272727273,0.9380165289256198
smollm2,effect,0,76,0.871191135734072,0.935595567867036,0.943213296398892
smollm2,element,0,150,0.7509333333333333,0.7872000000000001,0.808
smollm2,experiment,0,42,0.8888888888888888,0.8752834467120182,0.9126984126984128
smollm2,law,0,40,0.9600000000000001,0.9650000000000001,0.995
smollm2,paradox,0,70,0.8481632653061225,0.5604081632653061,0.7571428571428571
smollm2,reaction,0,50,0.5728,0.7056,0.6496000000000001
smollm2,researcher,0,188,0.9300588501584427,0.9086690810321413,0.9676324128564961
smollm2,theorem,0,62,0.9490114464099896,0.6623309053069718,0.9115504682622269
smollm2,algorithm,1,140,0.850204081632653,0.8179591836734693,0.8895918367346939
smollm2,conjecture,1,58,0.8323424494649228,0.7181926278240189,0.8293697978596908
smollm2,constant,1,52,0.7144970414201184,0.7899408284023669,0.7973372781065089
smollm2,effect,1,56,0.7869897959183674,0.8628826530612245,0.8737244897959183
smollm2,element,1,146,0.7932069806717958,0.7511728279226871,0.8206980671795834
smollm2,experiment,1,44,0.8450413223140496,0.8212809917355373,0.8832644628099173
smollm2,law,1,58,0.9441141498216409,0.797859690844233,0.944114149821641
smollm2,paradox,1,56,0.8813775510204082,0.5963010204081634,0.7997448979591836
smollm2,reaction,1,66,0.6657483930211203,0.7006427915518825,0.7038567493112948
smollm2,researcher,1,176,0.9403409090909091,0.887396694214876,0.9537060950413223
smollm2,theorem,1,74,0.9707815924032139,0.5825420014609204,0.9006574141709277
smollm2,algorithm,2,148,0.8329072315558802,0.8428597516435354,0.8937180423666911
smollm2,conjecture,2,70,0.8220408163265306,0.8926530612244898,0.9130612244897959
smollm2,constant,2,46,0.8393194706994329,0.8497164461247637,0.8638941398865785
smollm2,effect,2,78,0.8632478632478633,0.777120315581854,0.8550295857988166
smollm2,element,2,122,0.8142972319269013,0.7938726148884708,0.8689868314969095
smollm2,experiment,2,50,0.7776,0.8288,0.8456
smollm2,law,2,60,0.9366666666666668,0.7277777777777777,0.966111111111111
smollm2,paradox,2,78,0.8790269559500329,0.6729125575279421,0.8445101906640369
smollm2,reaction,2,46,0.7126654064272212,0.7637051039697542,0.7863894139886579
smollm2,researcher,2,180,0.9306172839506173,0.9176543209876543,0.9646296296296297
smollm2,theorem,2,58,0.9298454221165279,0.6313912009512486,0.8781212841854935
smollm2,algorithm,3,148,0.8290723155588021,0.8327246165084004,0.8849525200876551
smollm2,conjecture,3,64,0.8076171875,0.8857421875,0.8994140625
smollm2,constant,3,48,0.7743055555555556,0.6414930555555557,0.7178819444444444
smollm2,effect,3,78,0.782380013149244,0.5913872452333991,0.7445759368836293
smollm2,element,3,142,0.7286252727633405,0.7682999404879984,0.8037095814322555
smollm2,experiment,3,46,0.7561436672967864,0.5737240075614367,0.6956521739130435
smollm2,law,3,48,0.9652777777777777,0.7274305555555555,0.9409722222222222
smollm2,paradox,3,56,0.8303571428571429,0.5554846938775511,0.7544642857142858
smollm2,reaction,3,64,0.640625,0.57568359375,0.65185546875
smollm2,researcher,3,178,0.953793712915036,0.8115768211084459,0.9460926650675419
smollm2,theorem,3,58,0.9821640903686087,0.40428061831153395,0.7871581450653983
smollm2,algorithm,4,152,0.8253116343490304,0.849376731301939,0.8802804709141274
smollm2,conjecture,4,60,0.8277777777777777,0.7144444444444445,0.8027777777777778
smollm2,constant,4,42,0.8367346938775511,0.9659863945578231,0.9512471655328798
smollm2,effect,4,66,0.8402203856749312,0.8861340679522498,0.8907254361799817
smollm2,element,4,136,0.7939013840830451,0.8081747404844292,0.8425605536332179
smollm2,experiment,4,34,0.726643598615917,0.7647058823529412,0.8166089965397924
smollm2,law,4,54,0.9794238683127572,0.7956104252400549,0.9588477366255144
smollm2,paradox,4,56,0.7920918367346937,0.8099489795918366,0.8297193877551021
smollm2,reaction,4,60,0.7166666666666667,0.6733333333333333,0.7211111111111111
smollm2,researcher,4,178,0.9450826915793461,0.9118798131549046,0.9697639186971342
smollm2,theorem,4,68,0.9472318339100345,0.7253460207612457,0.9256055363321799
smollm2,algorithm,5,152,0.8242728531855956,0.7139023545706371,0.8157029085872576
smollm2,conjecture,5,54,0.7928669410150891,0.7311385459533608,0.855281207133059
smollm2,constant,5,52,0.7692307692307693,0.5850591715976331,0.7107988165680473
smollm2,effect,5,66,0.7860422405876951,0.6083562901744719,0.7516069788797062
smollm2,element,5,154,0.7726429414741103,0.6999494012481025,0.7965086861190758
smollm2,experiment,5,34,0.8512110726643598,0.7024221453287198,0.8442906574394464
smollm2,law,5,58,0.9619500594530321,0.6022592152199763,0.8668252080856124
smollm2,paradox,5,72,0.8695987654320988,0.44174382716049376,0.691358024691358
smollm2,reaction,5,68,0.6911764705882353,0.5748269896193772,0.6807958477508651
smollm2,researcher,5,178,0.9370029036737786,0.844211589445777,0.9624416109077136
smollm2,theorem,5,54,0.953360768175583,0.4828532235939644,0.8401920438957476
qwen,algorithm,0,156,0.8474687705456936,0.503862590401052,0.7615055884286653
qwen,conjecture,0,56,0.8137755102040817,0.5669642857142857,0.7595663265306122
qwen,constant,0,54,0.794238683127572,0.644718792866941,0.803840877914952
qwen,effect,0,80,0.85,0.79625,0.916875
qwen,element,0,156,0.6208086785009862,0.62853385930309,0.6515450361604207
qwen,experiment,0,60,0.731111111111111,0.56,0.6827777777777777
qwen,law,0,44,0.9318181818181819,0.3119834710743801,0.7148760330578513
qwen,paradox,0,66,0.6813590449954086,0.5495867768595042,0.6510560146923783
qwen,reaction,0,56,0.5625,0.6224489795918368,0.6026785714285714
qwen,researcher,0,196,0.7885256143273635,0.8059142024156601,0.8390774677217826
qwen,theorem,0,62,0.9177939646201873,0.32362122788761705,0.7070759625390219
qwen,algorithm,1,142,0.8313826621702043,0.4864114263043047,0.7539178734378099
qwen,conjecture,1,68,0.8252595155709342,0.4048442906574395,0.6596020761245674
qwen,constant,1,56,0.8341836734693877,0.7168367346938775,0.8603316326530612
qwen,effect,1,54,0.887517146776406,0.663923182441701,0.9163237311385459
qwen,element,1,152,0.6606648199445982,0.6519217451523546,0.6953774238227146
qwen,experiment,1,52,0.6819526627218935,0.5199704142011835,0.6198224852071006
