model,seed,condition,family,budget,selected,val_auroc,test_auroc,test_fpr95,fixed_auroc
smollm2,0,length+template,FIS,120,w1_t19_k4_einstein,0.845998219000453,0.8350247589367111,0.6693386773547094,0.768930646864872
smollm2,0,length+template,Mahalanobis,120,ledoit_sNone_k8,0.8609219016075865,0.8554584118136073,0.6332665330661322,0.8341251641559673
smollm2,0,length+template,IsolationForest,96,n200_mf1.0_cauto_k8,0.8640152166101642,0.8678720165782468,0.5691382765531062,0.8240127549688556
smollm2,0,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.8655892140167789,0.8602816856157205,0.6773547094188377,0.7776715756161622
smollm2,0,length+template,single statistic,38,ent_max_+,0.9429884859941571,0.9457311416420014,0.2665330661322645,0.848281733808298
smollm2,0,length+template+entropy,FIS,120,w1_t19_k4_einstein,0.845998219000453,0.7686634948096887,0.788235294117647,0.6745761245674742
smollm2,0,length+template+entropy,Mahalanobis,120,ledoit_sNone_k8,0.8609219016075865,0.8134083044982698,0.7264705882352941,0.7673356401384082
smollm2,0,length+template+entropy,IsolationForest,96,n200_mf1.0_cauto_k8,0.8640152166101642,0.7678200692041521,0.8205882352941176,0.7058996539792388
smollm2,0,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.8655892140167789,0.8126557093425606,0.6882352941176471,0.6947058823529411
smollm2,0,length+template+entropy,single statistic,38,ent_max_+,0.9429884859941571,0.8886332179930796,0.5441176470588235,0.5955363321799307
smollm2,1,length+template,FIS,120,w1_t19_k3_einstein,0.8481063842773438,0.8344189813379627,0.6948818897637795,0.8189363878727756
smollm2,1,length+template,Mahalanobis,120,empirical_s0.05_k4,0.8483047485351562,0.8470340690681382,0.6299212598425197,0.8199090148180297
smollm2,1,length+template,IsolationForest,96,n50_mf0.5_cauto_k8,0.8471031188964844,0.8505797011594024,0.639763779527559,0.7788920577841156
smollm2,1,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.8518104553222656,0.84749906999814,0.734251968503937,0.7715644181288364
smollm2,1,length+template,single statistic,38,ent_max_+,0.9440994262695312,0.9345394940789883,0.4094488188976378,0.8193587637175275
smollm2,1,length+template+entropy,FIS,120,w1_t19_k3_einstein,0.8481063842773438,0.7812797898292363,0.7506849315068493,0.7347569900544192
smollm2,1,length+template+entropy,Mahalanobis,120,empirical_s0.05_k4,0.8483047485351562,0.7974479264402325,0.863013698630137,0.7607731281666354
smollm2,1,length+template+entropy,IsolationForest,96,n50_mf0.5_cauto_k8,0.8471031188964844,0.7382923625445675,0.8602739726027397,0.6570463501595046
smollm2,1,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.8518104553222656,0.7992568962281854,0.7917808219178082,0.6901857759429537
smollm2,1,length+template+entropy,single statistic,38,ent_max_+,0.9440994262695312,0.8874535560142616,0.5041095890410959,0.5940251454306624
smollm2,2,length+template,FIS,120,w0_t8_k3_min/max,0.8535821889809081,0.8277919999999999,1.0,0.7895300000000001
smollm2,2,length+template,Mahalanobis,120,empirical_s0.05_k8,0.8479197262638344,0.8424879999999999,0.66,0.8138920000000001
smollm2,2,length+template,IsolationForest,96,n100_mf1.0_cauto_k8,0.8557169677057942,0.8356239999999999,0.682,0.801412
smollm2,2,length+template,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.8601644233826402,0.848768,0.73,0.7661560000000001
smollm2,2,length+template,single statistic,38,ent_max_+,0.9397833426698361,0.9338400000000001,0.342,0.827796
smollm2,2,length+template+entropy,FIS,120,w0_t8_k3_min/max,0.8535821889809081,0.7559529320987655,1.0,0.7232368827160495
smollm2,2,length+template+entropy,Mahalanobis,120,empirical_s0.05_k8,0.8479197262638344,0.7981172839506174,0.7722222222222223,0.7507098765432099
smollm2,2,length+template+entropy,IsolationForest,96,n100_mf1.0_cauto_k8,0.8557169677057942,0.7273225308641975,0.7944444444444444,0.6684567901234568
smollm2,2,length+template+entropy,OneClassSVM,100,nu0.5_g1.0_rbf_k8,0.8601644233826402,0.8121604938271605,0.7861111111111111,0.6843364197530865
