seed,condition,detector,auroc,fpr95,n_neg,n_pos,train_ms,n_params,samples_per_sec,structure
0,raw,FIS · centroid,0.5596712393257399,1.0,188,1627,2061.093799988157,55,591552.0487191405,2R/27MF
0,raw,FIS · delta,0.5668146569197976,1.0,188,1627,796.037600011914,45,653488.8734137678,2R/22MF
0,raw,FIS · deltaref,0.5993572558814683,1.0,188,1627,756.4944000041578,63,577308.4383239043,2R/31MF
0,raw,FIS · geom,0.6913912827420262,1.0,188,1627,745.4255000047851,43,722215.5902450738,2R/21MF
0,raw,FIS · curve,0.5386071479946122,1.0,188,1627,729.2062000051374,47,671923.5915402581,2R/23MF
0,raw,FIS · agg,0.6030254089892636,1.0,188,1627,694.8490999930073,49,687109.5960559115,2R/24MF
0,raw,OneClassSVM · deltaref,0.5854267742483883,0.9202127659574468,188,1627,2.4930000072345138,334,310463.3858054987,37SV
0,raw,Mahalanobis · stats,0.854506401286796,0.5797872340425532,188,1627,1.4516999945044518,209,1450375.5825122725,19f
0,raw,mean entropy,0.8746191267049394,0.5212765957446809,188,1627,0.0,0,3000992.101756386,threshold
0,raw,perplexity,0.8486412794727275,0.5638297872340425,188,1627,0.0,0,5054302.442364933,threshold
0,raw,n_tokens (control),0.45639572898821745,0.9680851063829787,188,1627,0.0,0,5346097.282398286,threshold
0,length,FIS · centroid,0.5467539599953751,1.0,186,186,2061.093799988157,55,216846.40109285858,2R/27MF
0,length,FIS · delta,0.5292230315643427,1.0,186,186,796.037600011914,45,207138.48255159,2R/22MF
0,length,FIS · deltaref,0.5628974447913053,1.0,186,186,756.4944000041578,63,189274.44875804096,2R/31MF
0,length,FIS · geom,0.6432535553243149,1.0,186,186,745.4255000047851,43,209601.0823465975,2R/21MF
0,length,FIS · curve,0.5149150190773499,1.0,186,186,729.2062000051374,47,228979.44089897192,2R/23MF
0,length,FIS · agg,0.6005896635449185,1.0,186,186,694.8490999930073,49,227703.9851109955,2R/24MF
0,length,OneClassSVM · deltaref,0.5879003352988785,0.9086021505376344,186,186,2.4930000072345138,334,199849.57558262738,37SV
0,length,Mahalanobis · stats,0.8641461440628975,0.5376344086021505,186,186,1.4516999945044518,209,507295.7890966485,19f
0,length,mean entropy,0.8332755231818707,0.7096774193548387,186,186,0.0,0,1062553.547526717,threshold
0,length,perplexity,0.7981269510926119,0.6935483870967742,186,186,0.0,0,2003230.9910647166,threshold
0,length,n_tokens (control),0.5,0.946236559139785,186,186,0.0,0,1399548.5263279895,threshold
0,length+template,FIS · centroid,0.564812326435546,1.0,183,183,2061.093799988157,55,206313.415551512,2R/27MF
0,length+template,FIS · delta,0.548836931529756,1.0,183,183,796.037600011914,45,210489.9933603832,2R/22MF
0,length+template,FIS · deltaref,0.6212338379766491,1.0,183,183,756.4944000041578,63,221482.6027152861,2R/31MF
0,length+template,FIS · geom,0.6331183373645077,1.0,183,183,745.4255000047851,43,503231.12309443543,2R/21MF
0,length+template,FIS · curve,0.4787392875272478,1.0,183,183,729.2062000051374,47,560747.6693720997,2R/23MF
0,length+template,FIS · agg,0.6612171160679626,1.0,183,183,694.8490999930073,49,541019.9557926367,2R/24MF
0,length+template,OneClassSVM · deltaref,0.5477022305831766,0.9289617486338798,183,183,2.4930000072345138,334,428772.26116794295,37SV
0,length+template,Mahalanobis · stats,0.8373794380244259,0.7103825136612022,183,183,1.4516999945044518,209,1069549.968005603,19f
0,length+template,mean entropy,0.8260324285586312,0.7103825136612022,183,183,0.0,0,2444889.7005081796,threshold
0,length+template,perplexity,0.8105646630236794,0.6939890710382514,183,183,0.0,0,3088607.5923636463,threshold
0,length+template,n_tokens (control),0.5,0.9453551912568307,183,183,0.0,0,3543078.385852552,threshold
0,length+template+entropy,FIS · centroid,0.5941022592152201,1.0,145,145,2061.093799988157,55,337444.7306342945,2R/27MF
0,length+template+entropy,FIS · delta,0.5463971462544589,1.0,145,145,796.037600011914,45,400110.3731733035,2R/22MF
0,length+template+entropy,FIS · deltaref,0.6176456599286564,1.0,145,145,756.4944000041578,63,377358.48964867456,2R/31MF
0,length+template+entropy,FIS · geom,0.6012604042806182,1.0,145,145,745.4255000047851,43,436221.4212563206,2R/21MF
0,length+template+entropy,FIS · curve,0.4283947681331748,1.0,145,145,729.2062000051374,47,455259.02336820547,2R/23MF
0,length+template+entropy,FIS · agg,0.6709631391200952,1.0,145,145,694.8490999930073,49,437934.1540003988,2R/24MF
0,length+template+entropy,OneClassSVM · deltaref,0.5617598097502973,0.8344827586206897,145,145,2.4930000072345138,334,372033.35551820573,37SV
0,length+template+entropy,Mahalanobis · stats,0.7726516052318668,0.7241379310344828,145,145,1.4516999945044518,209,747230.0931296325,19f
0,length+template+entropy,mean entropy,0.6251605231866825,0.8,145,145,0.0,0,1982228.3860473088,threshold
0,length+template+entropy,perplexity,0.6039476813317479,0.7517241379310344,145,145,0.0,0,1776960.721461105,threshold
0,length+template+entropy,n_tokens (control),0.5,0.9448275862068966,145,145,0.0,0,2491408.9633848057,threshold
1,raw,FIS · centroid,0.5778420013338739,1.0,188,1627,770.6060999917099,47,663183.2794997544,2R/23MF
1,raw,FIS · delta,0.5721730374400084,0.8404255319148937,188,1627,807.7897999901325,41,718157.7158819198,2R/20MF
1,raw,FIS · deltaref,0.5699826073310753,1.0,188,1627,747.5504000030924,59,1335049.6452136042,2R/29MF
1,raw,FIS · geom,0.5716875465875061,1.0,188,1627,737.3041000100784,45,1708396.086310609,2R/22MF
1,raw,FIS · curve,0.5241208855876238,1.0,188,1627,694.4774000003235,45,1703905.3842966582,2R/22MF
1,raw,FIS · agg,0.5980266513227582,1.0,188,1627,737.3413999885088,39,1925320.8784639388,2R/19MF
1,raw,OneClassSVM · deltaref,0.628911715858714,0.8723404255319149,188,1627,2.3815000022295862,370,586429.7239791316,41SV
1,raw,Mahalanobis · stats,0.8474283696661393,0.5425531914893617,188,1627,1.3202000118326396,209,2931675.0153708276,19f
1,raw,mean entropy,0.8848324157501734,0.48404255319148937,188,1627,0.0,0,4945504.079763845,threshold
1,raw,perplexity,0.8646118034759184,0.5,188,1627,0.0,0,5643656.89984739,threshold
1,raw,n_tokens (control),0.4620270959473774,0.9574468085106383,188,1627,0.0,0,5795019.187705769,threshold
1,length,FIS · centroid,0.6085184310018903,1.0,184,184,770.6060999917099,47,197192.15438934794,2R/23MF
1,length,FIS · delta,0.558601134215501,0.8369565217391305,184,184,807.7897999901325,41,217083.5298977691,2R/20MF
1,length,FIS · deltaref,0.5663102551984877,1.0,184,184,747.5504000030924,59,195994.8878790505,2R/29MF
1,length,FIS · geom,0.581063917769376,1.0,184,184,737.3041000100784,45,222895.21520024494,2R/22MF
1,length,FIS · curve,0.5235704158790171,1.0,184,184,694.4774000003235,45,233147.4891529551,2R/22MF
1,length,FIS · agg,0.6226961247637051,1.0,184,184,737.3413999885088,39,239770.6539168578,2R/19MF
1,length,OneClassSVM · deltaref,0.6619210775047258,0.8695652173913043,184,184,2.3815000022295862,370,192993.49731203963,41SV
1,length,Mahalanobis · stats,0.8565099243856332,0.5652173913043478,184,184,1.3202000118326396,209,499050.72017077403,19f
1,length,mean entropy,0.8685905009451796,0.4945652173913043,184,184,0.0,0,1230769.203458742,threshold
1,length,perplexity,0.8389650283553874,0.5054347826086957,184,184,0.0,0,1902792.255284249,threshold
1,length,n_tokens (control),0.5,0.9456521739130435,184,184,0.0,0,1714818.2325355322,threshold
1,length+template,FIS · centroid,0.6502204081632652,1.0,175,175,770.6060999917099,47,200999.2531632532,2R/23MF
1,length+template,FIS · delta,0.5678040816326531,0.8571428571428571,175,175,807.7897999901325,41,220195.03043167564,2R/20MF
