family,detector,norm,K,top_n,silhouette,mfs,nonfinite,auroc,auprc,fpr@95tpr
TriviaQA,FIS fused (hidden+stats),min/max,2,8,0.0908351107218643,23,0.0,0.6309014353737397,0.908346628977675,0.886685552407932
FalsePremise,FIS fused (hidden+stats),min/max,2,8,0.0908351107218643,23,0.0,0.7962199503062339,0.871446164103807,0.6912181303116147
TriviaQA,FIS fused (hidden+stats),probability,2,8,0.0908351107218643,23,0.0,0.6336266650593695,0.9044158842851366,0.9093484419263456
FalsePremise,FIS fused (hidden+stats),probability,2,8,0.0908351107218643,23,0.0,0.7860556760093057,0.8524323035115091,0.5722379603399433
TriviaQA,FIS fused (hidden+stats),hamacher,2,8,0.0908351107218643,23,0.0,0.6387886719994489,0.9084805512209373,0.9178470254957507
FalsePremise,FIS fused (hidden+stats),hamacher,2,8,0.0908351107218643,23,0.0,0.7944672163577952,0.8664554322471364,0.5977337110481586
TriviaQA,FIS fused (hidden+stats),min/max,2,12,0.0908351107218643,35,0.0,0.6135024439526882,0.9039972674891021,0.9263456090651558
FalsePremise,FIS fused (hidden+stats),min/max,2,12,0.0908351107218643,35,0.0,0.7529792520613418,0.8423363027467655,0.7082152974504249
TriviaQA,FIS fused (hidden+stats),probability,2,12,0.0908351107218643,35,0.0,0.6178751531955077,0.9007978134279453,0.9036827195467422
FalsePremise,FIS fused (hidden+stats),probability,2,12,0.0908351107218643,35,0.0,0.7508368018738031,0.8290703876980218,0.6402266288951841
TriviaQA,FIS fused (hidden+stats),hamacher,2,12,0.0908351107218643,35,0.0,0.6194465731564158,0.9041708179961856,0.9235127478753541
FalsePremise,FIS fused (hidden+stats),hamacher,2,12,0.0908351107218643,35,0.0,0.7569120230427145,0.8431787590233154,0.6175637393767706
TriviaQA,FIS fused (hidden+stats),min/max,2,24,0.0908351107218643,91,0.0,0.586412311896008,0.8968470123146566,0.9348441926345609
FalsePremise,FIS fused (hidden+stats),min/max,2,24,0.0908351107218643,91,0.0,0.615348093753462,0.7547962726934672,0.773371104815864
TriviaQA,FIS fused (hidden+stats),probability,2,24,0.0908351107218643,91,0.0,0.5987626682280409,0.8965058242792775,0.9206798866855525
FalsePremise,FIS fused (hidden+stats),probability,2,24,0.0908351107218643,91,0.0,0.6978611106714989,0.7935692860421827,0.7620396600566572
TriviaQA,FIS fused (hidden+stats),hamacher,2,24,0.0908351107218643,91,0.004727116458960034,,,
FalsePremise,FIS fused (hidden+stats),hamacher,2,24,0.0908351107218643,91,0.0,0.6690656305885705,0.783137295713787,0.7422096317280453
TriviaQA,FIS fused (hidden+stats),min/max,2,48,0.0908351107218643,150,0.0,0.5813421505061551,0.8890863403314806,0.9206798866855525
FalsePremise,FIS fused (hidden+stats),min/max,2,48,0.0908351107218643,150,0.0,0.7056712614936618,0.8621965488299754,0.9206798866855525
TriviaQA,FIS fused (hidden+stats),probability,2,48,0.0908351107218643,150,0.0,0.5848947076871855,0.8880456608038412,0.8980169971671388
FalsePremise,FIS fused (hidden+stats),probability,2,48,0.0908351107218643,150,0.0,0.7561325905645149,0.876375717196032,0.886685552407932
TriviaQA,FIS fused (hidden+stats),hamacher,2,48,0.0908351107218643,150,0.004727116458960034,,,
FalsePremise,FIS fused (hidden+stats),hamacher,2,48,0.0908351107218643,150,0.0,0.7253351164005254,0.8704648111225015,0.8980169971671388
TriviaQA,FIS fused (hidden+stats),min/max,2,8,0.0908351107218643,23,0.0,0.6309014353737397,0.908346628977675,0.886685552407932
FalsePremise,FIS fused (hidden+stats),min/max,2,8,0.0908351107218643,23,0.0,0.7962199503062339,0.871446164103807,0.6912181303116147
TriviaQA,FIS fused (hidden+stats),probability,2,8,0.0908351107218643,23,0.0,0.6336266650593695,0.9044158842851366,0.9093484419263456
FalsePremise,FIS fused (hidden+stats),probability,2,8,0.0908351107218643,23,0.0,0.7860556760093057,0.8524323035115091,0.5722379603399433
TriviaQA,FIS fused (hidden+stats),hamacher,2,8,0.0908351107218643,23,0.0,0.6387886719994489,0.9084805512209373,0.9178470254957507
FalsePremise,FIS fused (hidden+stats),hamacher,2,8,0.0908351107218643,23,0.0,0.7944672163577952,0.8664554322471364,0.5977337110481586
TriviaQA,FIS fused (hidden+stats),min/max,2,12,0.0908351107218643,35,0.0,0.6135024439526882,0.9039972674891021,0.9263456090651558
FalsePremise,FIS fused (hidden+stats),min/max,2,12,0.0908351107218643,35,0.0,0.7529792520613418,0.8423363027467655,0.7082152974504249
TriviaQA,FIS fused (hidden+stats),probability,2,12,0.0908351107218643,35,0.0,0.6178751531955077,0.9007978134279453,0.9036827195467422
FalsePremise,FIS fused (hidden+stats),probability,2,12,0.0908351107218643,35,0.0,0.7508368018738031,0.8290703876980218,0.6402266288951841
TriviaQA,FIS fused (hidden+stats),hamacher,2,12,0.0908351107218643,35,0.0,0.6194465731564158,0.9041708179961856,0.9235127478753541
FalsePremise,FIS fused (hidden+stats),hamacher,2,12,0.0908351107218643,35,0.0,0.7569120230427145,0.8431787590233154,0.6175637393767706
TriviaQA,FIS fused (hidden+stats),min/max,2,24,0.0908351107218643,91,0.0,0.586412311896008,0.8968470123146566,0.9348441926345609
FalsePremise,FIS fused (hidden+stats),min/max,2,24,0.0908351107218643,91,0.0,0.615348093753462,0.7547962726934672,0.773371104815864
TriviaQA,FIS fused (hidden+stats),probability,2,24,0.0908351107218643,91,0.0,0.5987626682280409,0.8965058242792775,0.9206798866855525
FalsePremise,FIS fused (hidden+stats),probability,2,24,0.0908351107218643,91,0.0,0.6978611106714989,0.7935692860421827,0.7620396600566572
TriviaQA,FIS fused (hidden+stats),hamacher,2,24,0.0908351107218643,91,0.004727116458960034,,,
