seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
0,length+template,FIS · stats,True,0.9496954421340054,0.2391304347826087,138,138,3201.637699996354,209,4R/104MF/19ant,182082.06858859662
0,length+template,Mahalanobis · stats,False,0.9207099348876286,0.6304347826086957,138,138,1.703400004771538,209,19f full cov,613742.4888038433
0,length+template,OneClassSVM · stats,False,0.8821676118462508,0.855072463768116,138,138,2.012900004046969,961,48SV,304434.14765850443
0,length+template,IsolationForest · stats,False,0.9072148708254568,0.5289855072463768,138,138,108.2853999978397,11614,100 trees,75498.53656318474
0,length+template,mean entropy,False,0.9562066792690611,0.2463768115942029,138,138,0.0,0,threshold,1377933.1193920365
0,length+template,perplexity,False,0.9282713715605966,0.3333333333333333,138,138,0.0,0,threshold,2251223.4503677622
0,length+template,n_tokens (control),False,0.5,0.9782608695652174,138,138,0.0,0,threshold,2381363.0509369727
0,length+template+entropy,FIS · stats,True,0.8505920886873268,0.6190476190476191,63,63,3201.637699996354,209,4R/104MF/19ant,92660.68585661704
0,length+template+entropy,Mahalanobis · stats,False,0.7331821617535902,0.8571428571428571,63,63,1.703400004771538,209,19f full cov,274629.4675374303
0,length+template+entropy,OneClassSVM · stats,False,0.5759637188208617,0.9682539682539683,63,63,2.012900004046969,961,48SV,194204.68342297556
0,length+template+entropy,IsolationForest · stats,False,0.597631645250693,0.9206349206349206,63,63,108.2853999978397,11614,100 trees,38023.961141094645
0,length+template+entropy,mean entropy,False,0.8440413202317965,0.36507936507936506,63,63,0.0,0,threshold,862423.0452883316
0,length+template+entropy,perplexity,False,0.7510707986898463,0.5238095238095238,63,63,0.0,0,threshold,1104294.379318274
0,length+template+entropy,n_tokens (control),False,0.5,0.9523809523809523,63,63,0.0,0,threshold,1031941.045403883
1,length+template,FIS · stats,True,0.9415338830677661,0.31496062992125984,127,127,2819.171399998595,245,4R/122MF/19ant,180808.65588423752
1,length+template,Mahalanobis · stats,False,0.9417818835637671,0.3700787401574803,127,127,1.4933000056771562,209,19f full cov,607364.9007922304
1,length+template,OneClassSVM · stats,False,0.8554777109554219,0.905511811023622,127,127,1.823400001740083,961,48SV,324227.7257515663
1,length+template,IsolationForest · stats,False,0.8985677971355943,0.5669291338582677,127,127,90.47379999537952,12162,100 trees,78884.43745560032
1,length+template,mean entropy,False,0.9521979043958088,0.2204724409448819,127,127,0.0,0,threshold,1388737.0473585688
1,length+template,perplexity,False,0.9220038440076881,0.31496062992125984,127,127,0.0,0,threshold,1161939.5859177406
1,length+template,n_tokens (control),False,0.5,0.9606299212598425,127,127,0.0,0,threshold,1674357.2232168748
1,length+template+entropy,FIS · stats,True,0.8765774084333641,0.7017543859649122,57,57,2819.171399998595,245,4R/122MF/19ant,80793.76301722441
1,length+template+entropy,Mahalanobis · stats,False,0.8356417359187442,0.6140350877192983,57,57,1.4933000056771562,209,19f full cov,303191.48059324134
1,length+template+entropy,OneClassSVM · stats,False,0.5650969529085872,0.9649122807017544,57,57,1.823400001740083,961,48SV,216236.72311359757
1,length+template+entropy,IsolationForest · stats,False,0.6497383810403201,0.9298245614035088,57,57,90.47379999537952,12162,100 trees,40670.71001506572
1,length+template+entropy,mean entropy,False,0.8433364112034472,0.40350877192982454,57,57,0.0,0,threshold,925324.6243791813
1,length+template+entropy,perplexity,False,0.752539242843952,0.49122807017543857,57,57,0.0,0,threshold,1082621.067704823
1,length+template+entropy,n_tokens (control),False,0.5,0.9649122807017544,57,57,0.0,0,threshold,1071428.619010054
2,length+template,FIS · stats,True,0.9385342789598109,0.3404255319148936,141,141,1717.7833000023384,135,2R/67MF/19ant,283759.30762567214
2,length+template,Mahalanobis · stats,False,0.9216840199185151,0.6099290780141844,141,141,1.6773000097600743,209,19f full cov,663217.321035208
