seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
0,length+template,FIS · stats,False,0.8930087143503848,0.4148936170212766,188,188,1143.8583999988623,79,4R/39MF/6ant,279387.72414291836
0,length+template,Mahalanobis · stats,False,0.8509223630602082,0.6063829787234043,188,188,1.7176999972434714,209,19f full cov,514715.9454753982
0,length+template,OneClassSVM · stats,False,0.7921570846536894,0.8138297872340425,188,188,1.6861000040080398,981,49SV,187232.347621647
0,length+template,IsolationForest · stats,False,0.8518277501131735,0.4787234042553192,188,188,108.47500000090804,11804,100 trees,60209.130688301935
0,length+template,mean entropy,False,0.8583352195563603,0.5957446808510638,188,188,0.0,0,threshold,1961397.97162369
0,length+template,perplexity,False,0.844895880488909,0.5425531914893617,188,188,0.0,0,threshold,2098214.1547035775
0,length+template,n_tokens (control),False,0.5,0.9468085106382979,188,188,0.0,0,threshold,2580645.0995438867
0,length+template+entropy,FIS · stats,False,0.7983888408304498,1.0,136,136,1143.8583999988623,79,4R/39MF/6ant,357800.5802656044
0,length+template+entropy,Mahalanobis · stats,False,0.7549740484429066,0.8382352941176471,136,136,1.7176999972434714,209,19f full cov,616919.9424574558
0,length+template+entropy,OneClassSVM · stats,False,0.6870134083044982,0.9044117647058824,136,136,1.6861000040080398,981,49SV,250714.35259860803
0,length+template+entropy,IsolationForest · stats,False,0.693609429065744,0.9338235294117647,136,136,108.47500000090804,11804,100 trees,73043.66520733156
0,length+template+entropy,mean entropy,False,0.5830990484429066,0.7941176470588235,136,136,0.0,0,threshold,1588785.1030705732
0,length+template+entropy,perplexity,False,0.5571474913494809,0.7867647058823529,136,136,0.0,0,threshold,1532394.381353151
0,length+template+entropy,n_tokens (control),False,0.5,0.9705882352941176,136,136,0.0,0,threshold,2025316.3954887546
1,length+template,FIS · stats,False,0.8943853188102744,0.48044692737430167,179,179,1120.2339000010397,75,4R/37MF/6ant,285988.1769523586
1,length+template,Mahalanobis · stats,False,0.8569020941918167,0.4972067039106145,179,179,1.708900002995506,209,19f full cov,531157.2737001312
1,length+template,OneClassSVM · stats,False,0.8117724165912424,0.7150837988826816,179,179,1.6489999979967251,861,43SV,215053.76329501724
1,length+template,IsolationForest · stats,False,0.8539995630598296,0.5865921787709497,179,179,98.27210000366904,11166,100 trees,54094.07533724032
1,length+template,mean entropy,False,0.8605536656159295,0.5977653631284916,179,179,0.0,0,threshold,1359149.5953190785
1,length+template,perplexity,False,0.8501295215505134,0.6033519553072626,179,179,0.0,0,threshold,1552471.8455134318
1,length+template,n_tokens (control),False,0.5,0.9497206703910615,179,179,0.0,0,threshold,1778440.096278881
1,length+template+entropy,FIS · stats,False,0.8234019204389575,1.0,135,135,1120.2339000010397,75,4R/37MF/6ant,244520.9208059784
1,length+template+entropy,Mahalanobis · stats,False,0.8177777777777778,0.7037037037037037,135,135,1.708900002995506,209,19f full cov,412339.63989032817
1,length+template+entropy,OneClassSVM · stats,False,0.7277366255144033,0.8592592592592593,135,135,1.6489999979967251,861,43SV,197729.76822587676
1,length+template+entropy,IsolationForest · stats,False,0.7290534979423868,0.8222222222222222,135,135,98.27210000366904,11166,100 trees,43511.19204447899
1,length+template+entropy,mean entropy,False,0.6165157750342936,0.7037037037037037,135,135,0.0,0,threshold,1148447.467785396
1,length+template+entropy,perplexity,False,0.599122085048011,0.7407407407407407,135,135,0.0,0,threshold,1205895.5549856399
