seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
0,length+template,FIS · stats,False,0.7377931564782776,0.8578431372549019,204,204,989.0336999960709,79,4R/39MF/6ant,414087.0826945191
0,length+template,Mahalanobis · stats,False,0.7071318723567859,0.8872549019607843,204,204,1.1733999999705702,209,19f full cov,864223.6805460991
0,length+template,OneClassSVM · stats,False,0.588739907727797,0.9313725490196079,204,204,1.1341000063112006,1001,50SV,323886.6390937081
0,length+template,IsolationForest · stats,False,0.7106401384083045,0.8382352941176471,204,204,89.68889999960084,10242,100 trees,60117.58301804291
0,length+template,mean entropy,False,0.7840734332948865,0.6225490196078431,204,204,0.0,0,threshold,1985401.5258259329
0,length+template,perplexity,False,0.777633602460592,0.6176470588235294,204,204,0.0,0,threshold,2673656.656832649
0,length+template,n_tokens (control),False,,1.0,204,204,0.0,0,threshold,3445945.9652341963
0,length+template+entropy,FIS · stats,False,0.6975977891156462,0.875,168,168,989.0336999960709,79,4R/39MF/6ant,392019.60437730985
0,length+template+entropy,Mahalanobis · stats,False,0.6616354875283448,0.8928571428571429,168,168,1.1733999999705702,209,19f full cov,857799.3374214667
0,length+template+entropy,OneClassSVM · stats,False,0.5430130385487528,0.9404761904761905,168,168,1.1341000063112006,1001,50SV,291793.31108420703
0,length+template+entropy,IsolationForest · stats,False,0.6351686507936507,0.8392857142857143,168,168,89.68889999960084,10242,100 trees,90756.84719866808
0,length+template+entropy,mean entropy,False,0.5649801587301586,0.7857142857142857,168,168,0.0,0,threshold,2081784.4889465396
0,length+template+entropy,perplexity,False,0.5612244897959183,0.7440476190476191,168,168,0.0,0,threshold,2348008.1758465073
0,length+template+entropy,n_tokens (control),False,,1.0,168,168,0.0,0,threshold,2679425.9563122243
1,length+template,FIS · stats,True,0.7806372549019608,0.803921568627451,204,204,1056.9344999967143,67,3R/33MF/8ant,548018.7984607455
1,length+template,Mahalanobis · stats,False,0.760476739715494,0.7745098039215687,204,204,1.5894000098342076,209,19f full cov,920162.3811359919
1,length+template,OneClassSVM · stats,False,0.6268742791234141,0.946078431372549,204,204,1.4642000023741275,881,44SV,366182.0139018461
1,length+template,IsolationForest · stats,False,0.7754229142637448,0.7009803921568627,204,204,97.86880000319798,10474,100 trees,101080.17041144989
1,length+template,mean entropy,False,0.7807333717800846,0.6813725490196079,204,204,0.0,0,threshold,2299887.2930597453
