seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
0,length+template,FIS · stats,True,0.6380721551176096,0.8933566433566433,572,572,2638.89129999734,195,3R/97MF/19ant,336956.20225822355
0,length+template,Mahalanobis · stats,False,0.6071996185632549,0.9230769230769231,572,572,1.5546000067843124,209,19f full cov,1221569.6736219693
0,length+template,OneClassSVM · stats,False,0.5487126509853784,0.9685314685314685,572,572,2.213100000517443,1641,82SV,148192.28742117644
0,length+template,IsolationForest · stats,False,0.5711342852951244,0.9195804195804196,572,572,108.00959999323823,10944,100 trees,114379.41177547476
0,length+template,mean entropy,False,0.5505403687221869,0.9020979020979021,572,572,0.0,0,threshold,2315320.7481205175
0,length+template,perplexity,False,0.5149334930803462,0.8951048951048951,572,572,0.0,0,threshold,2969114.9065345954
0,length+template,n_tokens (control),False,,1.0,572,572,0.0,0,threshold,4205882.279179987
0,length+template+entropy,FIS · stats,True,0.6241456640675915,0.9341864716636198,547,547,2638.89129999734,195,3R/97MF/19ant,369394.9203958697
0,length+template+entropy,Mahalanobis · stats,False,0.594835048410977,0.943327239488117,547,547,1.5546000067843124,209,19f full cov,1352286.790321325
0,length+template+entropy,OneClassSVM · stats,False,0.5527975428546601,0.9616087751371115,547,547,2.213100000517443,1641,82SV,183332.49522185902
0,length+template+entropy,IsolationForest · stats,False,0.5490977878339222,0.9323583180987203,547,547,108.00959999323823,10944,100 trees,189828.3911509569
0,length+template+entropy,mean entropy,False,0.5138782590095886,0.9104204753199269,547,547,0.0,0,threshold,3907142.95584559
0,length+template+entropy,perplexity,False,0.4884913221193212,0.9195612431444241,547,547,0.0,0,threshold,3965204.7072667377
0,length+template+entropy,n_tokens (control),False,,1.0,547,547,0.0,0,threshold,5703858.028938129
1,length+template,FIS · stats,False,0.6153357132378111,1.0,572,572,1149.7938000102295,77,2R/38MF/12ant,691071.6430323955
1,length+template,Mahalanobis · stats,False,0.6047270037654653,0.8671328671328671,572,572,2.1397000091383234,209,19f full cov,1858047.742902331
1,length+template,OneClassSVM · stats,False,0.5650612499388723,0.9475524475524476,572,572,4.84479998704046,1701,85SV,209010.85246813498
1,length+template,IsolationForest · stats,False,0.5990176781260698,0.9038461538461539,572,572,98.44709999742918,10988,100 trees,169843.81477101403
1,length+template,mean entropy,False,0.5414476258007728,0.9230769230769231,572,572,0.0,0,threshold,3441636.592532626
1,length+template,perplexity,False,0.521012641204949,0.9353146853146853,572,572,0.0,0,threshold,4725320.205913751
1,length+template,n_tokens (control),False,,1.0,572,572,0.0,0,threshold,5766128.687330336
1,length+template+entropy,FIS · stats,False,0.5833493917087396,1.0,558,558,1149.7938000102295,77,2R/38MF/12ant,764959.8983208841
1,length+template+entropy,Mahalanobis · stats,False,0.5920979946300793,0.8799283154121864,558,558,2.1397000091383234,209,19f full cov,2041338.9390292587
1,length+template+entropy,OneClassSVM · stats,False,0.5547719068357293,0.9767025089605734,558,558,4.84479998704046,1701,85SV,226511.5995395157
1,length+template+entropy,IsolationForest · stats,False,0.5722530543030022,0.9354838709677419,558,558,98.44709999742918,10988,100 trees,176963.0851557755
1,length+template+entropy,mean entropy,False,0.5202367646869901,0.9283154121863799,558,558,0.0,0,threshold,4835355.051416933
1,length+template+entropy,perplexity,False,0.4969842370987012,0.9336917562724014,558,558,0.0,0,threshold,5723076.907496833
1,length+template+entropy,n_tokens (control),False,,1.0,558,558,0.0,0,threshold,5942491.888925032
2,length+template,FIS · stats,True,0.6655786395814096,0.8771929824561403,570,570,2743.9360999997007,237,4R/118MF/19ant,463829.44074854796
2,length+template,Mahalanobis · stats,False,0.6246414281317328,0.9070175438596492,570,570,1.036100002238527,209,19f full cov,1615875.2936741556
2,length+template,OneClassSVM · stats,False,0.5838842720837181,0.9421052631578948,570,570,2.9129000031389296,1721,86SV,205805.8922968179
2,length+template,IsolationForest · stats,False,0.591372730070791,0.9122807017543859,570,570,107.04239999176934,11786,100 trees,168591.6679283893
2,length+template,mean entropy,False,0.5428408741151123,0.9192982456140351,570,570,0.0,0,threshold,3235878.6000569765
2,length+template,perplexity,False,0.5143582640812558,0.9070175438596492,570,570,0.0,0,threshold,3863097.366568771
2,length+template,n_tokens (control),False,,1.0,570,570,0.0,0,threshold,3834510.676741898
2,length+template+entropy,FIS · stats,True,0.6597940755562872,0.8879003558718861,562,562,2743.9360999997007,237,4R/118MF/19ant,457356.77090480976
2,length+template+entropy,Mahalanobis · stats,False,0.6193722217297146,0.9092526690391459,562,562,1.036100002238527,209,19f full cov,1014348.8877596501
2,length+template+entropy,OneClassSVM · stats,False,0.5924190423120275,0.9483985765124555,562,562,2.9129000031389296,1721,86SV,219381.28236198612
2,length+template+entropy,IsolationForest · stats,False,0.5865237269031547,0.9234875444839857,562,562,107.04239999176934,11786,100 trees,172358.27236921948
2,length+template+entropy,mean entropy,False,0.514000582566077,0.9466192170818505,562,562,0.0,0,threshold,2929371.929975895
2,length+template+entropy,perplexity,False,0.4969446942161321,0.9323843416370107,562,562,0.0,0,threshold,3716931.1748921718
2,length+template+entropy,n_tokens (control),False,,1.0,562,562,0.0,0,threshold,4456780.34150864
3,length+template,FIS · stats,True,0.6664415130324222,1.0,572,572,714.3065999989631,63,3R/31MF/6ant,1161657.183949137
3,length+template,Mahalanobis · stats,False,0.636244437380801,0.8513986013986014,572,572,1.025000005029142,209,19f full cov,1355129.0990498455
3,length+template,OneClassSVM · stats,False,0.5699850848452248,0.9283216783216783,572,572,2.1766999998362735,1641,82SV,192088.11904995266
3,length+template,IsolationForest · stats,False,0.6200731087094724,0.9090909090909091,572,572,106.97949999303091,11402,100 trees,189714.92994763615
3,length+template,mean entropy,False,0.5630318108464961,0.8688811188811189,572,572,0.0,0,threshold,3871404.4709090465
3,length+template,perplexity,False,0.5338616802777643,0.8933566433566433,572,572,0.0,0,threshold,4786610.8611466605
3,length+template,n_tokens (control),False,,1.0,572,572,0.0,0,threshold,5711432.929653948
3,length+template+entropy,FIS · stats,True,0.6222059570494276,1.0,563,563,714.3065999989631,63,3R/31MF/6ant,1272172.6329119338
3,length+template+entropy,Mahalanobis · stats,False,0.628335894046421,0.9129662522202486,563,563,1.025000005029142,209,19f full cov,2230586.425903263
3,length+template+entropy,OneClassSVM · stats,False,0.5876946956957936,0.9200710479573713,563,563,2.1766999998362735,1641,82SV,266793.03359990846
3,length+template+entropy,IsolationForest · stats,False,0.5989166132965684,0.9307282415630551,563,563,106.97949999303091,11402,100 trees,211150.0738350976
3,length+template+entropy,mean entropy,False,0.5156844991150554,0.9378330373001776,563,563,0.0,0,threshold,4697538.7534900615
3,length+template+entropy,perplexity,False,0.4991466042420552,0.9289520426287744,563,563,0.0,0,threshold,5191332.586800332
3,length+template+entropy,n_tokens (control),False,,1.0,563,563,0.0,0,threshold,6849148.403576655
4,length+template,FIS · stats,True,0.6485433273020687,0.8986013986013986,572,572,2682.4328000075184,231,4R/115MF/19ant,549603.6505444426
4,length+template,Mahalanobis · stats,False,0.6210847718714851,0.8986013986013986,572,572,1.69419999292586,209,19f full cov,2104101.554811648
4,length+template,OneClassSVM · stats,False,0.5666964154726393,0.9335664335664335,572,572,4.314299992984161,1661,83SV,270506.7272594135
4,length+template,IsolationForest · stats,False,0.5925381436745073,0.8968531468531469,572,572,97.73479998693801,10768,100 trees,198132.9775732125
4,length+template,mean entropy,False,0.5752634603159079,0.8688811188811189,572,572,0.0,0,threshold,3657289.0575170973
4,length+template,perplexity,False,0.544977749523204,0.8601398601398601,572,572,0.0,0,threshold,6197182.808149325
