seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
0,length+template,FIS · stats,True,0.773185605603188,0.7234432234432234,546,546,1643.0278999905568,147,3R/73MF/12ant,524571.2628490067
0,length+template,Mahalanobis · stats,False,0.7469743321391673,0.717948717948718,546,546,1.3991000014357269,209,19f full cov,1586978.6348808794
0,length+template,OneClassSVM · stats,False,0.5803143742704182,0.945054945054945,546,546,3.1649000011384487,1561,78SV,230040.02532551932
0,length+template,IsolationForest · stats,False,0.7600699056743013,0.6703296703296703,546,546,111.89699999522418,9694,100 trees,169436.29832159105
0,length+template,mean entropy,False,0.810446269237478,0.6172161172161172,546,546,0.0,0,threshold,3715549.5457669375
0,length+template,perplexity,False,0.802771404419756,0.6062271062271062,546,546,0.0,0,threshold,3912576.1288168277
0,length+template,n_tokens (control),False,0.5,0.9798534798534798,546,546,0.0,0,threshold,5227381.409431466
0,length+template+entropy,FIS · stats,True,0.685574001736111,0.8619791666666666,384,384,1643.0278999905568,147,3R/73MF/12ant,384211.3163570356
0,length+template+entropy,Mahalanobis · stats,False,0.6649848090277778,0.8541666666666666,384,384,1.3991000014357269,209,19f full cov,1315744.3751624813
0,length+template+entropy,OneClassSVM · stats,False,0.5324232313368056,0.9453125,384,384,3.1649000011384487,1561,78SV,228973.49504611216
0,length+template+entropy,IsolationForest · stats,False,0.6207614474826388,0.8203125,384,384,111.89699999522418,9694,100 trees,146068.69784658475
0,length+template+entropy,mean entropy,False,0.5704481336805556,0.84375,384,384,0.0,0,threshold,3251481.876226655
0,length+template+entropy,perplexity,False,0.5641615125868056,0.8385416666666666,384,384,0.0,0,threshold,4408725.546559153
0,length+template+entropy,n_tokens (control),False,0.5,0.984375,384,384,0.0,0,threshold,4366117.096775282
1,length+template,FIS · stats,True,0.7278734246503931,0.776173285198556,554,554,1863.8050000008661,145,2R/72MF/19ant,612594.679155316
1,length+template,Mahalanobis · stats,False,0.7032445359642379,0.7653429602888087,554,554,1.2816999951610342,209,19f full cov,1665914.8991808482
1,length+template,OneClassSVM · stats,False,0.5220190540734273,0.98014440433213,554,554,4.398000004584901,1641,82SV,195142.5702961521
1,length+template,IsolationForest · stats,False,0.7171408463553546,0.6949458483754513,554,554,94.5038000063505,10034,100 trees,167848.26994849404
1,length+template,mean entropy,False,0.8168912666657979,0.5830324909747292,554,554,0.0,0,threshold,2719685.795201547
1,length+template,perplexity,False,0.8095863363265519,0.5902527075812274,554,554,0.0,0,threshold,4802773.94836953
1,length+template,n_tokens (control),False,0.49999999999999994,0.983754512635379,554,554,0.0,0,threshold,5160689.213356692
1,length+template+entropy,FIS · stats,True,0.643485650064417,0.8324607329842932,382,382,1863.8050000008661,145,2R/72MF/19ant,488834.85459275584
1,length+template+entropy,Mahalanobis · stats,False,0.6384350757928786,0.8455497382198953,382,382,1.2816999951610342,209,19f full cov,934556.578777679
1,length+template+entropy,OneClassSVM · stats,False,0.5191401003261972,0.9450261780104712,382,382,4.398000004584901,1641,82SV,209734.53748971963
1,length+template+entropy,IsolationForest · stats,False,0.5817069159288397,0.8481675392670157,382,382,94.5038000063505,10034,100 trees,147143.79265680513
1,length+template+entropy,mean entropy,False,0.5742441270798497,0.8324607329842932,382,382,0.0,0,threshold,3149216.828414504
1,length+template+entropy,perplexity,False,0.5667059565253145,0.8115183246073299,382,382,0.0,0,threshold,3948320.3387342873
1,length+template+entropy,n_tokens (control),False,0.5,0.9921465968586387,382,382,0.0,0,threshold,4553039.410047655
2,length+template,FIS · stats,True,0.7603236943284651,0.7495361781076066,539,539,1792.9137999890372,135,2R/67MF/19ant,832689.6299553185
2,length+template,Mahalanobis · stats,False,0.7295617184299931,0.7328385899814471,539,539,1.1074000067310408,209,19f full cov,2043601.894507856
2,length+template,OneClassSVM · stats,False,0.5525108339844624,0.9703153988868275,539,539,4.215900000417605,1721,86SV,238664.54089997185
2,length+template,IsolationForest · stats,False,0.7436811796737585,0.6975881261595547,539,539,108.57530000794213,10016,100 trees,189239.00651699727
2,length+template,mean entropy,False,0.8140685182826715,0.6066790352504638,539,539,0.0,0,threshold,3911465.848905079
2,length+template,perplexity,False,0.8133628894296798,0.6122448979591837,539,539,0.0,0,threshold,4002970.4667683556
2,length+template,n_tokens (control),False,0.5,0.987012987012987,539,539,0.0,0,threshold,4736379.584622615
2,length+template+entropy,FIS · stats,True,0.6796071927852855,0.8534031413612565,382,382,1792.9137999890372,135,2R/67MF/19ant,607989.8100266817
2,length+template+entropy,Mahalanobis · stats,False,0.6841026835887173,0.8586387434554974,382,382,1.1074000067310408,209,19f full cov,1614198.1998024408
2,length+template+entropy,OneClassSVM · stats,False,0.5724829363230175,0.9450261780104712,382,382,4.215900000417605,1721,86SV,244268.95092934335
2,length+template+entropy,IsolationForest · stats,False,0.6347482251034785,0.8507853403141361,382,382,108.57530000794213,10016,100 trees,166979.9361049746
2,length+template+entropy,mean entropy,False,0.5682684136948,0.8664921465968587,382,382,0.0,0,threshold,3703344.3957251655
2,length+template+entropy,perplexity,False,0.5695567555713933,0.8481675392670157,382,382,0.0,0,threshold,4838505.551090818
2,length+template+entropy,n_tokens (control),False,0.5,0.9947643979057592,382,382,0.0,0,threshold,5106951.732417522
3,length+template,FIS · stats,True,0.7365659456274725,0.7761467889908257,545,545,1193.9916999981506,61,4R/30MF/6ant,783439.9481088723
3,length+template,Mahalanobis · stats,False,0.7188351148893191,0.7596330275229358,545,545,1.2943000037921593,209,19f full cov,1181443.750344969
3,length+template,OneClassSVM · stats,False,0.5733052773335579,0.963302752293578,545,545,4.259799999999814,1681,84SV,211273.06521993686
3,length+template,IsolationForest · stats,False,0.720858513593132,0.6788990825688074,545,545,112.3574999946868,9996,100 trees,186203.83336903117
3,length+template,mean entropy,False,0.8055584546755324,0.6220183486238532,545,545,0.0,0,threshold,3372524.8862631805
3,length+template,perplexity,False,0.8018651628650788,0.6036697247706422,545,545,0.0,0,threshold,4965831.48233898
3,length+template,n_tokens (control),False,0.49999999999999994,0.981651376146789,545,545,0.0,0,threshold,5949781.724624382
3,length+template+entropy,FIS · stats,True,0.625162743118291,0.865979381443299,388,388,1193.9916999981506,61,4R/30MF/6ant,902640.4582638985
3,length+template+entropy,Mahalanobis · stats,False,0.6400321500690829,0.8711340206185567,388,388,1.2943000037921593,209,19f full cov,1373208.257091213
3,length+template+entropy,OneClassSVM · stats,False,0.5536720161547455,0.9458762886597938,388,388,4.259799999999814,1681,84SV,225725.75496075733
3,length+template+entropy,IsolationForest · stats,False,0.6004556807312149,0.8891752577319587,388,388,112.3574999946868,9996,100 trees,140842.5141011867
3,length+template+entropy,mean entropy,False,0.5752936018705495,0.8376288659793815,388,388,0.0,0,threshold,2526864.250205378
3,length+template+entropy,perplexity,False,0.5756323732596451,0.8273195876288659,388,388,0.0,0,threshold,4384180.568305371
3,length+template+entropy,n_tokens (control),False,0.5,0.9896907216494846,388,388,0.0,0,threshold,4920735.792401279
4,length+template,FIS · stats,True,0.7833670794203135,0.7071823204419889,543,543,3180.0192999944557,281,4R/140MF/19ant,402714.4285592941
4,length+template,Mahalanobis · stats,False,0.740707955597611,0.7440147329650092,543,543,1.6872000123839825,209,19f full cov,1280811.423572668
4,length+template,OneClassSVM · stats,False,0.5559693266722967,0.9558011049723757,543,543,4.357700003311038,1701,85SV,207902.59630364526
4,length+template,IsolationForest · stats,False,0.7417593412221171,0.7219152854511971,543,543,111.75189999630675,10334,100 trees,167236.44092345273
4,length+template,mean entropy,False,0.8336707942031344,0.4880294659300184,543,543,0.0,0,threshold,2869978.858009072
4,length+template,perplexity,False,0.8289361673263264,0.4990791896869245,543,543,0.0,0,threshold,3446524.9317487464
4,length+template,n_tokens (control),False,0.5,0.9834254143646409,543,543,0.0,0,threshold,4307814.380553423
4,length+template+entropy,FIS · stats,True,0.6692964911809712,0.8497409326424871,386,386,3180.0192999944557,281,4R/140MF/19ant,316043.72177758004
4,length+template+entropy,Mahalanobis · stats,False,0.6446213321162985,0.8549222797927462,386,386,1.6872000123839825,209,19f full cov,1145910.6297752615
4,length+template+entropy,OneClassSVM · stats,False,0.531598163709093,0.9585492227979274,386,386,4.357700003311038,1701,85SV,222203.0337268604
4,length+template+entropy,IsolationForest · stats,False,0.6013248677816854,0.8937823834196891,386,386,111.75189999630675,10334,100 trees,124183.6373804297
4,length+template+entropy,mean entropy,False,0.5767671615345379,0.8626943005181347,386,386,0.0,0,threshold,2981846.3610089147
4,length+template+entropy,perplexity,False,0.5692434696233456,0.8367875647668394,386,386,0.0,0,threshold,2934245.4251591046
4,length+template+entropy,n_tokens (control),False,0.5,0.9922279792746114,386,386,0.0,0,threshold,4393853.181543302
5,length+template,FIS · stats,True,0.7771186524418563,0.691470054446461,551,551,2422.8730000031646,265,4R/132MF/19ant,375238.3551891707
5,length+template,Mahalanobis · stats,False,0.7300799404481539,0.7531760435571688,551,551,1.731700001982972,209,19f full cov,1781441.9786735636
5,length+template,OneClassSVM · stats,False,0.5787102150519926,0.9528130671506352,551,551,4.313599987654015,1641,82SV,187138.07831685749
5,length+template,IsolationForest · stats,False,0.7341741298612324,0.7386569872958257,551,551,90.14759999990929,9762,100 trees,162668.83169981738
5,length+template,mean entropy,False,0.8206494708515453,0.5662431941923775,551,551,0.0,0,threshold,3173049.272922619
5,length+template,perplexity,False,0.8159623980158168,0.5753176043557169,551,551,0.0,0,threshold,4812227.12699895
5,length+template,n_tokens (control),False,0.5000000000000001,0.9655172413793104,551,551,0.0,0,threshold,4610878.644216451
5,length+template+entropy,FIS · stats,True,0.6650261426884803,0.8571428571428571,385,385,2422.8730000031646,265,4R/132MF/19ant,214150.62815768638
5,length+template+entropy,Mahalanobis · stats,False,0.6617979423174228,0.8337662337662337,385,385,1.731700001982972,209,19f full cov,975300.8212039265
5,length+template+entropy,OneClassSVM · stats,False,0.5850497554393658,0.9402597402597402,385,385,4.313599987654015,1641,82SV,194995.94866438952
5,length+template+entropy,IsolationForest · stats,False,0.6182560296846011,0.8597402597402597,385,385,90.14759999990929,9762,100 trees,142421.15970487817
5,length+template+entropy,mean entropy,False,0.5651003541912633,0.8701298701298701,385,385,0.0,0,threshold,2483070.0631673275
5,length+template+entropy,perplexity,False,0.5573688649013324,0.8675324675324675,385,385,0.0,0,threshold,3103587.2956394344
5,length+template+entropy,n_tokens (control),False,0.5,0.987012987012987,385,385,0.0,0,threshold,4020887.6658059633
6,length+template,FIS · stats,True,0.74709240088142,0.7277676950998185,551,551,1940.2813999913633,175,3R/87MF/19ant,364779.874599446
6,length+template,Mahalanobis · stats,False,0.7035154693166359,0.7731397459165155,551,551,1.72309999470599,209,19f full cov,1222135.968807872
6,length+template,OneClassSVM · stats,False,0.5522379702306646,0.9764065335753176,551,551,4.52919999952428,1641,82SV,221900.0445376512
6,length+template,IsolationForest · stats,False,0.7071946403338593,0.809437386569873,551,551,106.75259999698028,10308,100 trees,154575.5486209969
6,length+template,mean entropy,False,0.8180934845405647,0.5172413793103449,551,551,0.0,0,threshold,3234517.1323950915
6,length+template,perplexity,False,0.8177739862516922,0.5480943738656987,551,551,0.0,0,threshold,4222222.087591599
6,length+template,n_tokens (control),False,0.5,0.9836660617059891,551,551,0.0,0,threshold,4400958.459981507
6,length+template+entropy,FIS · stats,True,0.6530453333333333,0.856,375,375,1940.2813999913633,175,3R/87MF/19ant,473365.31153134856
6,length+template+entropy,Mahalanobis · stats,False,0.629632,0.872,375,375,1.72309999470599,209,19f full cov,1586965.7071465575
6,length+template+entropy,OneClassSVM · stats,False,0.5680924444444444,0.9413333333333334,375,375,4.52919999952428,1641,82SV,247222.86266521024
6,length+template+entropy,IsolationForest · stats,False,0.5823928888888888,0.9413333333333334,375,375,106.75259999698028,10308,100 trees,135911.42216516676
6,length+template+entropy,mean entropy,False,0.568,0.8346666666666667,375,375,0.0,0,threshold,2459016.3235746603
6,length+template+entropy,perplexity,False,0.5698204444444444,0.8186666666666667,375,375,0.0,0,threshold,2230151.6528517944
6,length+template+entropy,n_tokens (control),False,0.5,0.9946666666666667,375,375,0.0,0,threshold,3295254.813049129
7,length+template,FIS · stats,True,0.7591232215608488,0.7714808043875686,547,547,1164.5638000045437,133,4R/66MF/6ant,445294.690818826
7,length+template,Mahalanobis · stats,False,0.722588558499243,0.8062157221206582,547,547,1.7286999936914071,209,19f full cov,1249143.6344008604
7,length+template,OneClassSVM · stats,False,0.5136242559548676,0.9762340036563071,547,547,4.492000007303432,1721,86SV,200021.94028125357
7,length+template,IsolationForest · stats,False,0.7516752504102483,0.7586837294332724,547,547,103.13250000763219,10400,100 trees,146231.27005321288
7,length+template,mean entropy,False,0.8124154019431232,0.5283363802559415,547,547,0.0,0,threshold,3139167.815405722
7,length+template,perplexity,False,0.8118639479427424,0.5283363802559415,547,547,0.0,0,threshold,3861630.7323493436
7,length+template,n_tokens (control),False,0.5,0.9890310786106032,547,547,0.0,0,threshold,3815835.3641477963
7,length+template+entropy,FIS · stats,True,0.658219012590942,1.0,386,386,1164.5638000045437,133,4R/66MF/6ant,518016.50765235646
7,length+template+entropy,Mahalanobis · stats,False,0.6473663722516041,0.9015544041450777,386,386,1.7286999936914071,209,19f full cov,1358437.4668930992
7,length+template+entropy,OneClassSVM · stats,False,0.525973851647024,0.9533678756476683,386,386,4.492000007303432,1721,86SV,208970.5762156727
7,length+template+entropy,IsolationForest · stats,False,0.6278692045424038,0.9015544041450777,386,386,103.13250000763219,10400,100 trees,142398.6424845691
7,length+template+entropy,mean entropy,False,0.5704314209777444,0.8549222797927462,386,386,0.0,0,threshold,2928679.8288367954
7,length+template+entropy,perplexity,False,0.5707065961502322,0.8367875647668394,386,386,0.0,0,threshold,4218579.316383771
7,length+template+entropy,n_tokens (control),False,0.49999999999999994,0.9870466321243523,386,386,0.0,0,threshold,4619987.855133294
