seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
0,length+template,FIS · stats,True,0.6885388663814319,0.8552875695732839,539,539,1570.0619999988703,189,3R/94MF/12ant,501115.6575794718
0,length+template,Mahalanobis · stats,False,0.6663821203974929,0.9053803339517625,539,539,1.399499989929609,209,19f full cov,1657951.3911740105
0,length+template,OneClassSVM · stats,False,0.5644858719335263,0.9517625231910947,539,539,3.477200007182546,1741,87SV,211871.0695658227
0,length+template,IsolationForest · stats,False,0.6342398656207298,0.849721706864564,539,539,92.19250000023749,11092,100 trees,157934.8337055411
0,length+template,mean entropy,False,0.7523001779561546,0.6827458256029685,539,539,0.0,0,threshold,3799788.421282296
0,length+template,perplexity,False,0.7463556851311953,0.6456400742115028,539,539,0.0,0,threshold,4204368.135381392
0,length+template,n_tokens (control),False,,1.0,539,539,0.0,0,threshold,4591141.436089853
0,length+template+entropy,FIS · stats,True,0.6444114153518946,0.8927680798004988,401,401,1570.0619999988703,189,3R/94MF/12ant,412572.6626688712
0,length+template+entropy,Mahalanobis · stats,False,0.6177573522552721,0.9201995012468828,401,401,1.399499989929609,209,19f full cov,1446348.0556272084
0,length+template+entropy,OneClassSVM · stats,False,0.5419618037201261,0.9451371571072319,401,401,3.477200007182546,1741,87SV,198839.68821780992
0,length+template+entropy,IsolationForest · stats,False,0.5697041685064148,0.8778054862842892,401,401,92.19250000023749,11092,100 trees,145084.84407147384
0,length+template+entropy,mean entropy,False,0.5438772146939386,0.8204488778054863,401,401,0.0,0,threshold,3355648.5232863827
0,length+template+entropy,perplexity,False,0.5428821960062438,0.8254364089775561,401,401,0.0,0,threshold,4467966.600660584
0,length+template+entropy,n_tokens (control),False,,1.0,401,401,0.0,0,threshold,4638519.190960004
1,length+template,FIS · stats,True,0.6905149377540811,0.8576512455516014,562,562,3481.199900008505,333,4R/166MF/19ant,155160.7516400474
1,length+template,Mahalanobis · stats,False,0.6808741024049847,0.8594306049822064,562,562,1.2614000006578863,209,19f full cov,1191940.6070028786
1,length+template,OneClassSVM · stats,False,0.5417579564595181,0.9733096085409253,562,562,2.1649999980581924,1661,83SV,238357.79079074165
1,length+template,IsolationForest · stats,False,0.6704892288598169,0.8327402135231317,562,562,103.1900000089081,10634,100 trees,185087.60344073814
1,length+template,mean entropy,False,0.7489140208457339,0.6903914590747331,562,562,0.0,0,threshold,3420572.132562545
1,length+template,perplexity,False,0.73996023353301,0.6886120996441281,562,562,0.0,0,threshold,5969198.30468744
1,length+template,n_tokens (control),False,0.5,0.998220640569395,562,562,0.0,0,threshold,6467203.713104887
1,length+template+entropy,FIS · stats,True,0.6532329237680011,0.8735632183908046,435,435,3481.199900008505,333,4R/166MF/19ant,244684.44192768578
1,length+template+entropy,Mahalanobis · stats,False,0.6593526225393049,0.8689655172413793,435,435,1.2614000006578863,209,19f full cov,1598383.2525426217
1,length+template+entropy,OneClassSVM · stats,False,0.548426476416964,0.9632183908045977,435,435,2.1649999980581924,1661,83SV,233864.6805131928
1,length+template+entropy,IsolationForest · stats,False,0.6069124058660325,0.896551724137931,435,435,103.1900000089081,10634,100 trees,168177.68847539707
1,length+template+entropy,mean entropy,False,0.5395798652397938,0.825287356321839,435,435,0.0,0,threshold,3719538.1736307857
1,length+template+entropy,perplexity,False,0.536630994847404,0.8436781609195402,435,435,0.0,0,threshold,4652406.471285025
1,length+template+entropy,n_tokens (control),False,,1.0,435,435,0.0,0,threshold,5034722.044139798
2,length+template,FIS · stats,False,0.6698499912785627,1.0,546,546,1189.7300999989966,105,4R/52MF/8ant,467926.46828579466
2,length+template,Mahalanobis · stats,False,0.6794871794871795,0.8589743589743589,546,546,1.8465999892214313,209,19f full cov,1315979.7494389587
2,length+template,OneClassSVM · stats,False,0.5644380039984436,0.967032967032967,546,546,4.584799986332655,1661,83SV,151361.8410158006
2,length+template,IsolationForest · stats,False,0.659364140133371,0.8443223443223443,546,546,101.907599993865,11360,100 trees,130120.82640589059
2,length+template,mean entropy,False,0.7356297548605242,0.7014652014652014,546,546,0.0,0,threshold,3200468.8597854762
2,length+template,perplexity,False,0.7256537723570691,0.7124542124542125,546,546,0.0,0,threshold,3635153.0959665375
2,length+template,n_tokens (control),False,,1.0,546,546,0.0,0,threshold,4226006.141635299
2,length+template+entropy,FIS · stats,False,0.6602081040407898,1.0,422,422,1189.7300999989966,105,4R/52MF/8ant,284050.7511188196
2,length+template+entropy,Mahalanobis · stats,False,0.6395970440915523,0.8886255924170616,422,422,1.8465999892214313,209,19f full cov,954211.4215964933
2,length+template+entropy,OneClassSVM · stats,False,0.5221693133577412,0.943127962085308,422,422,4.584799986332655,1661,83SV,136888.5428066786
2,length+template+entropy,IsolationForest · stats,False,0.5848476000089846,0.8625592417061612,422,422,101.907599993865,11360,100 trees,121889.57748126221
