seed,condition,detector,whitened,auroc,fpr95,n_neg,n_pos,train_ms,n_params,structure,samples_per_sec
0,length+template,FIS · stats,False,0.8365910177067563,0.7314629258517034,499,499,1673.4836999967229,115,3R/57MF/12ant,430024.1285559628
0,length+template,Mahalanobis · stats,False,0.8391291601238549,0.6292585170340681,499,499,2.1887000038987026,209,19f full cov,997202.242811444
0,length+template,OneClassSVM · stats,False,0.7077843060871243,0.9378757515030061,499,499,4.896099999314174,1701,85SV,194110.55392507062
0,length+template,IsolationForest · stats,False,0.8309364219420805,0.5991983967935872,499,499,118.32549999235198,10674,100 trees,160661.96578099264
0,length+template,mean entropy,False,0.8444182955088533,0.5571142284569138,499,499,0.0,0,threshold,3066994.43129998
0,length+template,perplexity,False,0.8231894651025499,0.5851703406813628,499,499,0.0,0,threshold,4268605.555752319
0,length+template,n_tokens (control),False,0.5,0.9498997995991983,499,499,0.0,0,threshold,4880195.596421666
0,length+template+entropy,FIS · stats,False,0.763650519031142,0.7294117647058823,340,340,1673.4836999967229,115,3R/57MF/12ant,399741.3434109816
0,length+template+entropy,Mahalanobis · stats,False,0.7655017301038062,0.788235294117647,340,340,2.1887000038987026,209,19f full cov,1271979.0588650834
0,length+template+entropy,OneClassSVM · stats,False,0.6317560553633218,0.9352941176470588,340,340,4.896099999314174,1701,85SV,227189.20163042514
0,length+template+entropy,IsolationForest · stats,False,0.7034861591695502,0.7647058823529411,340,340,118.32549999235198,10674,100 trees,149224.25358662047
0,length+template+entropy,mean entropy,False,0.5847145328719723,0.7617647058823529,340,340,0.0,0,threshold,3015521.0650737127
0,length+template+entropy,perplexity,False,0.5637889273356401,0.8,340,340,0.0,0,threshold,4427083.176743615
0,length+template+entropy,n_tokens (control),False,0.5,0.9764705882352941,340,340,0.0,0,threshold,5003679.116083057
1,length+template,FIS · stats,True,0.8350912951825904,0.7047244094488189,508,508,2536.4737000054447,177,3R/88MF/19ant,622968.910695381
1,length+template,Mahalanobis · stats,False,0.8120504991009982,0.734251968503937,508,508,1.6948000120464712,209,19f full cov,1741813.8083772978
1,length+template,OneClassSVM · stats,False,0.706968038936078,0.9350393700787402,508,508,4.017999992356636,1621,81SV,67197.54493819218
1,length+template,IsolationForest · stats,False,0.7875333250666501,0.7519685039370079,508,508,92.55299999495037,11524,100 trees,185686.08811925084
1,length+template,mean entropy,False,0.8310302870605742,0.547244094488189,508,508,0.0,0,threshold,4075411.044242374
1,length+template,perplexity,False,0.8159681319362639,0.5826771653543307,508,508,0.0,0,threshold,5749858.299085906
1,length+template,n_tokens (control),False,0.5,0.9488188976377953,508,508,0.0,0,threshold,5886442.98172099
1,length+template+entropy,FIS · stats,True,0.8009270031900919,0.7534246575342466,365,365,2536.4737000054447,177,3R/88MF/19ant,447990.18240260956
1,length+template+entropy,Mahalanobis · stats,False,0.7793657346594107,0.7643835616438356,365,365,1.6948000120464712,209,19f full cov,1428571.4127907574
1,length+template+entropy,OneClassSVM · stats,False,0.6471458059673485,0.9561643835616438,365,365,4.017999992356636,1621,81SV,53433.27064103229
1,length+template+entropy,IsolationForest · stats,False,0.6874235316194408,0.8410958904109589,365,365,92.55299999495037,11524,100 trees,115429.6194965475
1,length+template+entropy,mean entropy,False,0.5970876337023832,0.7452054794520548,365,365,0.0,0,threshold,1868919.5839150746
1,length+template+entropy,perplexity,False,0.5751998498780259,0.7780821917808219,365,365,0.0,0,threshold,2488919.260399509
1,length+template+entropy,n_tokens (control),False,0.5,0.9863013698630136,365,365,0.0,0,threshold,3175293.545942782
2,length+template,FIS · stats,False,0.8666560000000001,0.682,500,500,1130.0406000082148,73,3R/36MF/8ant,601250.6049714687
2,length+template,Mahalanobis · stats,False,0.8382639999999999,0.654,500,500,1.333299995167181,209,19f full cov,1571585.7316950206
2,length+template,OneClassSVM · stats,False,0.752256,0.886,500,500,3.0983000033302233,1741,87SV,243837.01937262257
2,length+template,IsolationForest · stats,False,0.8108439999999999,0.668,500,500,106.59140000643674,11660,100 trees,167900.73728604437
2,length+template,mean entropy,False,0.84568,0.544,500,500,0.0,0,threshold,3372681.2571578613
2,length+template,perplexity,False,0.8295720000000001,0.574,500,500,0.0,0,threshold,3775009.517853673
2,length+template,n_tokens (control),False,0.5,0.95,500,500,0.0,0,threshold,4644681.632496365
2,length+template+entropy,FIS · stats,False,0.7494444444444445,1.0,360,360,1130.0406000082148,73,3R/36MF/8ant,581771.1659600886
2,length+template+entropy,Mahalanobis · stats,False,0.7280092592592593,0.8277777777777777,360,360,1.333299995167181,209,19f full cov,1391573.2611711333
2,length+template+entropy,OneClassSVM · stats,False,0.5792669753086419,0.9472222222222222,360,360,3.0983000033302233,1741,87SV,247874.13511575785
2,length+template+entropy,IsolationForest · stats,False,0.6430555555555555,0.8722222222222222,360,360,106.59140000643674,11660,100 trees,150316.29035343244
2,length+template+entropy,mean entropy,False,0.5999151234567901,0.7138888888888889,360,360,0.0,0,threshold,3041825.1218758263
2,length+template+entropy,perplexity,False,0.5742283950617284,0.7416666666666667,360,360,0.0,0,threshold,4514106.393374107
2,length+template+entropy,n_tokens (control),False,0.5,0.975,360,360,0.0,0,threshold,4562737.823068438
3,length+template,FIS · stats,True,0.833910830426996,0.6310679611650486,515,515,3333.496199993533,259,4R/129MF/19ant,377732.1405676802
3,length+template,Mahalanobis · stats,False,0.8183429163917428,0.6873786407766991,515,515,1.2095000129193068,209,19f full cov,1619496.8629086253
3,length+template,OneClassSVM · stats,False,0.7280535394476388,0.9223300970873787,515,515,3.0072999943513423,1681,84SV,160701.4697863039
3,length+template,IsolationForest · stats,False,0.8109906683004996,0.6757281553398058,515,515,88.77960000245366,10874,100 trees,153722.16581476948
3,length+template,mean entropy,False,0.8345291733433877,0.6116504854368932,515,515,0.0,0,threshold,3077382.846342552
3,length+template,perplexity,False,0.816646243755302,0.6368932038834951,515,515,0.0,0,threshold,3955453.091984644
