variant,family,tnorm,sconorm,matched,nonfinite,auroc,auprc,fpr@95tpr
fused,TriviaQA,drastic,drastic,True,0.0,,,
fused,TriviaQA,drastic,lukasiewicz,False,0.0,,,
fused,TriviaQA,drastic,nilpotent,False,0.0,,,
fused,TriviaQA,drastic,einstein,False,0.0,,,
fused,TriviaQA,drastic,product,False,0.0,,,
fused,TriviaQA,drastic,hamacher,False,0.0,,,
fused,TriviaQA,drastic,minimum,False,0.0,,,
fused,TriviaQA,drastic,yager2,False,0.0,,,
fused,TriviaQA,drastic,yager3,False,0.0,,,
fused,TriviaQA,drastic,dombi2,False,0.0,,,
fused,TriviaQA,drastic,ss2,False,0.0,,,
fused,TriviaQA,lukasiewicz,drastic,False,0.0,,,
fused,TriviaQA,lukasiewicz,lukasiewicz,True,0.0,,,
fused,TriviaQA,lukasiewicz,nilpotent,False,0.0,,,
fused,TriviaQA,lukasiewicz,einstein,False,0.0,0.5274072862223064,0.8557093915480849,0.9036827195467422
fused,TriviaQA,lukasiewicz,product,False,0.0,0.5229685629902615,0.8544504067219111,0.9065155807365439
fused,TriviaQA,lukasiewicz,hamacher,False,0.0,0.5164288727967831,0.852642587292077,0.9178470254957507
fused,TriviaQA,lukasiewicz,minimum,False,0.0,0.5186195326783597,0.8532330342258747,0.9206798866855525
fused,TriviaQA,lukasiewicz,yager2,False,0.0,0.5152262701235036,0.8523144591494758,0.9178470254957507
fused,TriviaQA,lukasiewicz,yager3,False,0.0,0.5190392955446298,0.853346238149127,0.9178470254957507
fused,TriviaQA,lukasiewicz,dombi2,False,0.0,0.5186109221580261,0.8532318881625834,0.9206798866855525
fused,TriviaQA,lukasiewicz,ss2,False,0.0,,,
fused,TriviaQA,nilpotent,drastic,False,0.0,,,
fused,TriviaQA,nilpotent,lukasiewicz,False,0.0,,,
fused,TriviaQA,nilpotent,nilpotent,True,0.0,,,
fused,TriviaQA,nilpotent,einstein,False,0.0,0.596743501209778,0.8757359036546748,1.0
fused,TriviaQA,nilpotent,product,False,0.0,0.5926434584441937,0.8739806544771216,1.0
fused,TriviaQA,nilpotent,hamacher,False,0.0,0.5941876117573784,0.8746211434787876,1.0
fused,TriviaQA,nilpotent,minimum,False,0.0,0.5733042297746052,0.8698281869401473,1.0
fused,TriviaQA,nilpotent,yager2,False,0.0,0.5933954438866741,0.8732319463351967,1.0
