detector,seed,auroc,fpr@95tpr,train_ms,n_params,samples_per_sec,structure
FIS · centroid,0,0.6268312757201646,1.0,5959.999200000311,59,165970.00357840434,"2 rules, 29 MFs, 8 antecedents"
Mahalanobis · stats,0,0.9514403292181071,0.2962962962962963,4.2929999908665195,209,477369.1660023625,"19 features, full covariance"
OneClassSVM · centroid,0,0.4765432098765432,0.9111111111111111,3913.7530000007246,397,242522.22946162464,44 support vectors x 8 dims
IsolationForest · stats,0,0.9305898491083676,0.37777777777777777,105.21429999789689,11834,59156.04062452719,100 trees
mean entropy,0,0.970644718792867,0.2,0.0,0,1196278.2376928,threshold only
perplexity,0,0.9387654320987654,0.2962962962962963,0.0,0,1190476.2152033255,threshold only
n_tokens (control),0,0.5,0.9777777777777777,0.0,0,1858224.3577547786,threshold only
FIS · centroid,1,0.7583218549127639,1.0,4648.08680000715,51,307048.1512399948,"2 rules, 25 MFs, 8 antecedents"
Mahalanobis · stats,1,0.9566689623507806,0.2196969696969697,4.228100006002933,209,663483.2822414704,"19 features, full covariance"
OneClassSVM · centroid,1,0.8467056932966024,0.4393939393939394,3865.5952000117395,397,308411.2154042495,44 support vectors x 8 dims
IsolationForest · stats,1,0.9271694214876034,0.4090909090909091,103.38230000343174,12468,82412.43670209429,100 trees
mean entropy,1,0.9601124885215794,0.21212121212121213,0.0,0,1619631.8596145527,threshold only
perplexity,1,0.9292929292929293,0.3409090909090909,0.0,0,2022988.6668230023,threshold only
n_tokens (control),1,0.49999999999999994,0.9772727272727273,0.0,0,2266094.4318506327,threshold only
FIS · centroid,2,0.6737588652482269,1.0,4701.227500001551,51,246374.2794497881,"2 rules, 25 MFs, 8 antecedents"
Mahalanobis · stats,2,0.9592072833358483,0.3191489361702128,3.974999999627471,209,557312.2566253849,"19 features, full covariance"
OneClassSVM · centroid,2,0.5654645138574519,0.8865248226950354,3895.2805000008084,397,267806.2678174002,44 support vectors x 8 dims
IsolationForest · stats,2,0.9493486243146723,0.3546099290780142,107.3785000044154,11932,73223.93042648901,100 trees
mean entropy,2,0.9772647251144309,0.19148936170212766,0.0,0,1558010.9606910183,threshold only
perplexity,2,0.9512096977013229,0.24822695035460993,0.0,0,1832358.755837857,threshold only
n_tokens (control),2,0.5,0.9787234042553191,0.0,0,1552863.4330445628,threshold only
FIS · centroid,3,0.5647437565036421,1.0,4636.957800001255,45,280733.52838228,"2 rules, 22 MFs, 8 antecedents"
Mahalanobis · stats,3,0.9437434963579604,0.3387096774193548,3.74920001195278,209,585319.8076374853,"19 features, full covariance"
OneClassSVM · centroid,3,0.6199921956295525,0.7661290322580645,3874.12530000438,397,301080.49040304107,44 support vectors x 8 dims
IsolationForest · stats,3,0.9153876170655566,0.4596774193548387,97.1958000009181,11208,76611.7821996312,100 trees
mean entropy,3,0.958962018730489,0.25,0.0,0,1281653.8189061803,threshold only
perplexity,3,0.926248699271592,0.3064516129032258,0.0,0,990415.3340067274,threshold only
n_tokens (control),3,0.5,0.9758064516129032,0.0,0,1704467.5014227373,threshold only
FIS · centroid,4,0.695904,1.0,4640.397000010125,65,122405.01308632127,"2 rules, 32 MFs, 8 antecedents"
Mahalanobis · stats,4,0.939648,0.368,3.893199987942353,209,349454.8479947302,"19 features, full covariance"
OneClassSVM · centroid,4,0.57056,0.896,3881.196700007422,406,163537.64650057614,45 support vectors x 8 dims
IsolationForest · stats,4,0.908992,0.52,109.10009998769965,12028,76682.41214068046,100 trees
mean entropy,4,0.96512,0.144,0.0,0,1563477.220200061,threshold only
perplexity,4,0.930496,0.272,0.0,0,2362949.1678724494,threshold only
n_tokens (control),4,0.5,0.976,0.0,0,2460629.8635944175,threshold only
FIS · centroid,5,0.7084021524854813,1.0,4692.363099995418,47,327868.85650265147,"2 rules, 23 MFs, 8 antecedents"
Mahalanobis · stats,5,0.9395812243593159,0.35766423357664234,3.5086999996565282,209,631190.9878308306,"19 features, full covariance"
OneClassSVM · centroid,5,0.6319995737652513,0.7591240875912408,3931.4116000023205,397,316360.6963215578,44 support vectors x 8 dims
IsolationForest · stats,5,0.9077734562310192,0.5109489051094891,84.98899999540299,13086,72816.17901365549,100 trees
mean entropy,5,0.9513559592945815,0.21897810218978103,0.0,0,1622261.6402966557,threshold only
perplexity,5,0.9299909425115882,0.2846715328467153,0.0,0,2031134.2636632405,threshold only
n_tokens (control),5,0.5,0.9781021897810219,0.0,0,2167721.733467601,threshold only
