seed,ranker,auroc,n_layers_selected,features
0,bhattacharyya,0.597997256515775,5,"L30_dist,L29_dist,L30_cos,L31_dist,L29_cos,L28_dist,L31_cos,L27_cos"
0,jensen_shannon,0.5897942386831276,5,"L30_dist,L29_dist,L31_dist,L30_cos,L28_dist,L29_cos,L27_dist,L31_cos"
0,overlap,0.597997256515775,5,"L30_dist,L29_dist,L30_cos,L31_dist,L29_cos,L28_dist,L31_cos,L27_cos"
0,blend (library),0.5623319615912208,5,"L30_dist,L29_dist,L31_dist,L30_cos,L28_dist,L29_cos,L27_dist,L28_cos"
0,hist_corr,0.6658436213991769,8,"L10_cos,L30_dist,L29_dist,L25_dist,L31_dist,L12_dist,L28_dist,L07_cos"
0,ks,0.6033470507544583,4,"L30_dist,L30_cos,L31_dist,L31_cos,L29_dist,L27_dist,L29_cos,L27_cos"
0,wasserstein,0.5623319615912208,5,"L30_dist,L29_dist,L31_dist,L30_cos,L28_dist,L29_cos,L27_dist,L28_cos"
0,auc,0.6033470507544583,4,"L30_dist,L30_cos,L31_dist,L31_cos,L27_cos,L27_dist,L29_dist,L29_cos"
0,mutual_info,0.6002194787379972,5,"L30_cos,L30_dist,L31_dist,L31_cos,L27_dist,L27_cos,L29_dist,L28_cos"
0,variance,0.6371742112482853,8,"L31_dist,L30_dist,L29_dist,L28_dist,L27_dist,L26_dist,L25_dist,L24_dist"
1,bhattacharyya,0.7753099173553718,5,"L30_dist,L30_cos,L31_dist,L29_dist,L26_cos,L32_dist,L26_dist,L31_cos"
1,jensen_shannon,0.7753099173553718,5,"L30_dist,L31_dist,L30_cos,L29_dist,L26_cos,L26_dist,L32_dist,L31_cos"
1,overlap,0.7753099173553718,5,"L30_dist,L30_cos,L31_dist,L29_dist,L26_cos,L32_dist,L26_dist,L31_cos"
1,blend (library),0.7638028007346188,6,"L30_dist,L26_dist,L31_dist,L29_dist,L30_cos,L26_cos,L32_dist,L28_dist"
1,hist_corr,0.641471533516988,6,"L25_dist,L26_dist,L30_dist,L25_cos,L31_dist,L29_dist,L26_cos,L10_cos"
1,ks,0.6497359963269054,5,"L30_dist,L31_dist,L30_cos,L31_cos,L27_dist,L27_cos,L29_dist,L32_dist"
1,wasserstein,0.7753099173553718,5,"L30_dist,L30_cos,L31_dist,L29_dist,L26_cos,L32_dist,L26_dist,L31_cos"
1,auc,0.6497359963269054,5,"L30_dist,L30_cos,L31_dist,L31_cos,L27_dist,L29_dist,L27_cos,L32_dist"
1,mutual_info,0.5950413223140496,4,"L30_dist,L30_cos,L31_cos,L31_dist,L27_dist,L29_dist,L29_cos,L27_cos"
1,variance,0.6401802112029384,8,"L31_dist,L30_dist,L29_dist,L28_dist,L27_dist,L26_dist,L25_dist,L24_dist"
2,bhattacharyya,0.6731804235199437,4,"L30_dist,L29_dist,L30_cos,L31_dist,L28_dist,L31_cos,L28_cos,L29_cos"
2,jensen_shannon,0.6731804235199437,4,"L30_dist,L29_dist,L30_cos,L31_dist,L28_dist,L28_cos,L31_cos,L29_cos"
2,overlap,0.6731804235199437,4,"L30_dist,L29_dist,L30_cos,L31_dist,L28_dist,L31_cos,L28_cos,L29_cos"
