pooling,l2,k,layer,val_tq,val_fp
prompt,False,8,0,0.5,0.5
prompt,False,8,2,0.5313205190199871,0.36839637635092176
prompt,False,8,4,0.556261225476651,0.6305268595041322
prompt,False,8,6,0.4796430298424979,0.5613795295613477
prompt,False,8,8,0.4915938449848024,0.6124880801017165
prompt,False,8,10,0.4921896587455098,0.6321876986649715
prompt,False,8,12,0.4921105047434835,0.6445009535918627
prompt,False,8,14,0.5242959611310676,0.5223180228862048
prompt,False,8,16,0.549248180897117,0.5704068658614113
prompt,False,8,18,0.5488063576494427,0.6380443420216148
prompt,False,8,20,0.5503390669614074,0.6874364272091544
prompt,False,8,22,0.5319652643455834,0.6881516211061665
prompt,False,8,24,0.5467857718522612,0.6405594405594406
prompt,False,8,26,0.5505016924564796,0.591262714558169
prompt,False,8,28,0.5277024615455466,0.3757708200890019
prompt,False,8,30,0.5022724394399927,0.32739192625556257
prompt,False,8,32,0.4262874758220503,0.2628258105530833
prompt,False,16,0,0.5,0.5
prompt,False,16,2,0.5748278760246845,0.4687341068022886
prompt,False,16,4,0.566024511835682,0.5837571519389702
prompt,False,16,6,0.5123638551165147,0.41414097266369987
prompt,False,16,8,0.5034295270332504,0.536065638906548
prompt,False,16,10,0.522275375333886,0.5707326764144947
prompt,False,16,12,0.5466677604310582,0.557557215511761
prompt,False,16,14,0.5483818043658469,0.5616060076287349
prompt,False,16,16,0.5615472736483376,0.5449340432294978
prompt,False,16,18,0.5652027493782813,0.6526899237126509
prompt,False,16,20,0.5679414778483928,0.6783335982199619
prompt,False,16,22,0.5659755802707931,0.5930785123966942
prompt,False,16,24,0.5259509993552547,0.5770462492053401
prompt,False,16,26,0.5251738509717233,0.4772727272727272
prompt,False,16,28,0.4942088053790181,0.3441632231404959
prompt,False,16,30,0.4650614235055725,0.13903766687857597
prompt,False,16,32,0.3930787740628166,0.11861888111888111
prompt,False,32,0,0.5,0.5
prompt,False,32,2,0.5809601524362162,0.5370073108709472
prompt,False,32,4,0.568334369531178,0.6412349014621742
prompt,False,32,6,0.5194330270793036,0.5792991099809282
prompt,False,32,8,0.5198489453808602,0.5559321360457725
prompt,False,32,10,0.5397885580731325,0.6101160203432932
prompt,False,32,12,0.5604218476558902,0.5959551811824538
prompt,False,32,14,0.5586358455374413,0.5599014621741895
prompt,False,32,16,0.5610104655982315,0.6075532422123331
prompt,False,32,18,0.5744551326333242,0.7636443102352193
prompt,False,32,20,0.5811242170949618,0.6925182771773681
prompt,False,32,22,0.5575967693653864,0.6223021296884934
prompt,False,32,24,0.5323869393018329,0.5819294342021615
prompt,False,32,26,0.512337950170397,0.527097902097902
