model,n_fit,seed,fis,mahalanobis,entropy,d_mahal
smollm2,120,0,0.8308067867036011,0.8237465373961219,0.8323891966759003,0.007060249307479172
smollm2,120,1,0.7371475529583638,0.7859021183345507,0.8439371804236669,-0.04875456537618694
smollm2,120,2,0.7087065902236555,0.7989115829078205,0.838962047239392,-0.09020499268416504
smollm2,120,3,0.6974684380990152,0.7703894654122694,0.8566035795859313,-0.07292102731325423
smollm2,120,4,0.7468254492843032,0.8401891877997371,0.832778842693576,-0.09336373851543389
smollm2,120,5,0.8075551083874508,0.8271429476039371,0.8204659147675704,-0.019587839216486325
smollm2,120,6,0.8512825645571792,0.8374274357287884,0.8401870227916154,0.013855128828390795
smollm2,120,7,0.6548337777777778,0.7917368888888889,0.8150044444444445,-0.1369031111111111
smollm2,200,0,0.8229536011080332,0.8328324099722991,0.8323891966759003,-0.009878808864265953
smollm2,200,1,0.7606501095690285,0.7992987582176772,0.8439371804236669,-0.0386486486486487
smollm2,200,2,0.7669906536474664,0.8123488309594196,0.838962047239392,-0.04535817731195313
smollm2,200,3,0.7998105184303876,0.794698922598982,0.8566035795859313,0.005111595831405635
smollm2,200,4,0.803512018860026,0.8508163130411792,0.832778842693576,-0.04730429418115323
smollm2,200,5,0.8122409923379464,0.8454784034222431,0.8204659147675704,-0.033237411084296675
smollm2,200,6,0.8820312276587835,0.8478152077554405,0.8401870227916154,0.034216019903343
smollm2,200,7,0.8289173333333334,0.7998862222222224,0.8150044444444445,0.029031111111111008
smollm2,280,0,0.8040096952908586,0.8362257617728532,0.8323891966759003,-0.0322160664819946
smollm2,280,1,0.7855770635500365,0.8018918918918919,0.8439371804236669,-0.01631482834185538
smollm2,280,2,0.7869412344351876,0.8030547343903969,0.838962047239392,-0.016113499955209276
smollm2,280,3,0.8026600862214585,0.8062293902071811,0.8566035795859313,-0.0035693039857226383
smollm2,280,4,0.8222875860194917,0.8545545347052387,0.832778842693576,-0.03226694868574698
smollm2,280,5,0.7915801841988617,0.830372408164414,0.8204659147675704,-0.038792223965552375
smollm2,280,6,0.8777345649003404,0.8465783980096657,0.8401870227916154,0.031156166890674686
smollm2,280,7,0.8050204444444444,0.7992106666666666,0.8150044444444445,0.005809777777777803
smollm2,400,0,0.7568213296398891,0.8464473684210526,0.8323891966759003,-0.08962603878116349
smollm2,400,1,0.8314061358655954,0.8076113951789625,0.8439371804236669,0.023794740686632898
smollm2,400,2,0.8283951446743708,0.8191645017767029,0.838962047239392,0.009230642897667951
smollm2,400,3,0.8594200982660234,0.8138747512136368,0.8566035795859313,0.04554534705238655
smollm2,400,4,0.7994065848517563,0.8498615609462328,0.832778842693576,-0.05045497609447647
smollm2,400,5,0.855997016794602,0.8280505737745287,0.8204659147675704,0.02794644302007332
smollm2,400,6,0.8542923732448741,0.8354113643512827,0.8401870227916154,0.018881008893591344
smollm2,400,7,0.8557546666666668,0.8017351111111111,0.8150044444444445,0.05401955555555571
smollm2,550,0,0.8063815789473685,0.8437950138504156,0.8323891966759003,-0.03741343490304705
smollm2,550,1,0.7974799123447771,0.8180934989043096,0.8439371804236669,-0.020613586559532493
smollm2,550,2,0.8244722147570844,0.8192988742572188,0.838962047239392,0.00517334049986562
smollm2,550,3,0.7711018573600371,0.8165113358450657,0.8566035795859313,-0.04540947848502863
smollm2,550,4,0.8118807881845755,0.8448527845712062,0.832778842693576,-0.03297199638663062
smollm2,550,5,0.7788206488471742,0.8208317795805218,0.8204659147675704,-0.04201113073334761
smollm2,550,6,0.8191862792759301,0.8302853956361349,0.8401870227916154,-0.011099116360204775
smollm2,550,7,0.8383822222222221,0.8059164444444444,0.8150044444444445,0.032465777777777705
smollm2,760,0,0.8195671745152355,0.8459279778393352,0.8323891966759003,-0.026360803324099624
smollm2,760,1,0.8096420745069394,0.8209057706355003,0.8439371804236669,-0.01126369612856093
smollm2,760,2,0.7875944339932515,0.8254202872585028,0.838962047239392,-0.03782585326525134
smollm2,760,3,0.7764888624496,0.8237601075197745,0.8566035795859313,-0.04727124507017444
smollm2,760,4,0.7847401238240024,0.8394841400988535,0.832778842693576,-0.05474401627485115
smollm2,760,5,0.8240014353158046,0.8240753118645737,0.8204659147675704,-7.387654876911398e-05
smollm2,760,6,0.7945680459835853,0.8277760301981756,0.8401870227916154,-0.03320798421459026
smollm2,760,7,0.8036124444444445,0.7985137777777777,0.8150044444444445,0.005098666666666807
qwen,120,0,0.545046827595304,0.653243384149597,0.7429852827557615,-0.10819655655429306
qwen,120,1,0.6537524304941794,0.6911315370823969,0.7424591550718416,-0.037379106588217526
qwen,120,2,0.6593614361718833,0.713293258208177,0.7220055150407346,-0.053931822036293764
qwen,120,3,0.6289729210062491,0.6438519468033967,0.7524307002082999,-0.014879025797147616
qwen,120,4,0.5346488878685849,0.6996097337006428,0.7419969901030508,-0.16496084583205795
qwen,120,5,0.7461502832960046,0.6958358976961976,0.7479141419588982,0.050314385599807054
qwen,120,6,0.5434619850389255,0.6788254477853423,0.7553375758998535,-0.13536346274641675
qwen,120,7,0.6300696357514539,0.6493661361085603,0.7358879196000407,-0.019296500357106394
qwen,200,0,0.6211770026570185,0.668883989422177,0.7429852827557615,-0.0477069867651585
qwen,200,1,0.6325313754703165,0.6947551829499256,0.7424591550718416,-0.062223807479609095
qwen,200,2,0.6748167411008725,0.6944114672646529,0.7220055150407346,-0.01959472616378033
qwen,200,3,0.5924627463547508,0.6621759333440155,0.7524307002082999,-0.06971318698926465
qwen,200,4,0.5567735435159678,0.6873915926946229,0.7419969901030508,-0.13061804917865516
qwen,200,5,0.6367656669352639,0.6939768668032917,0.7479141419588982,-0.05721119986802781
qwen,200,6,0.7008641638485111,0.6882538433718886,0.7553375758998535,0.012610320476622583
qwen,200,7,0.6117934394449546,0.6558897051321294,0.7358879196000407,-0.04409626568717484
qwen,280,0,0.5503043322592195,0.6705359890955458,0.7429852827557615,-0.1202316568363263
qwen,280,1,0.6513598141461074,0.7126019544960986,0.7424591550718416,-0.0612421403499912
qwen,280,2,0.6066796062838802,0.6874328678839958,0.7220055150407346,-0.08075326160011564
qwen,280,3,0.6778689312610159,0.669155584041019,0.7524307002082999,0.008713347219996836
qwen,280,4,0.5833747831853893,0.6817926742169167,0.7419969901030508,-0.09841789103152743
qwen,280,5,0.6089626861410198,0.697847204157123,0.7479141419588982,-0.0888845180161032
qwen,280,6,0.6650984398099092,0.6679885031946146,0.7553375758998535,-0.0028900633847053214
qwen,280,7,0.5953282828282829,0.6643709825528007,0.7358879196000407,-0.06904269972451782
qwen,400,0,0.6173547904849844,0.6877343735278045,0.7429852827557615,-0.0703795830428201
qwen,400,1,0.6510788868967956,0.713151183050933,0.7424591550718416,-0.06207229615413734
qwen,400,2,0.5758789203585405,0.6746754103303371,0.7220055150407346,-0.09879648997179657
qwen,400,3,0.6759621855471879,0.6647075789136356,0.7524307002082999,0.011254606633552267
qwen,400,4,0.6291800581573308,0.6820732578308335,0.7419969901030508,-0.0528931996735027
qwen,400,5,0.618930391030969,0.6950554854100972,0.7479141419588982,-0.07612509437912818
qwen,400,6,0.5306200788026064,0.6522216370892525,0.7553375758998535,-0.1216015582866461
qwen,400,7,0.5729804356698296,0.6664179675543311,0.7358879196000407,-0.09343753188450155
qwen,550,0,0.6148862130263001,0.6906112398791464,0.7429852827557615,-0.07572502685284632
qwen,550,1,0.659301532789576,0.7091929496729882,0.7424591550718416,-0.04989141688341214
qwen,550,2,0.5757438709555845,0.6841791194778927,0.7220055150407346,-0.10843524852230813
qwen,550,3,0.6381092773593976,0.660253164556962,0.7524307002082999,-0.022143887197564438
qwen,550,4,0.6225385164779104,0.6857017141108048,0.7419969901030508,-0.06316319763289446
qwen,550,5,0.5503365924534767,0.6878223959291665,0.7479141419588982,-0.13748580347568984
qwen,550,6,0.5958574700683337,0.6504323991650223,0.7553375758998535,-0.054574929096688596
qwen,550,7,0.517533287419651,0.6728586368737883,0.7358879196000407,-0.15532534945413734
qwen,760,0,0.6295783317943983,0.6949453835088975,0.7429852827557615,-0.06536705171449919
qwen,760,1,0.6653367339208607,0.7023686270548724,0.7424591550718416,-0.03703189313401167
qwen,760,2,0.6798198503778243,0.6914466617671999,0.7220055150407346,-0.011626811389375602
qwen,760,3,0.63333119692357,0.6714693158147733,0.7524307002082999,-0.03813811889120333
qwen,760,4,0.5675249974492399,0.6842669115396389,0.7419969901030508,-0.11674191409039902
qwen,760,5,0.6014980109003928,0.694712865382053,0.7479141419588982,-0.09321485448166023
qwen,760,6,0.6180040479921832,0.6491951601748631,0.7553375758998535,-0.031191112182679892
qwen,760,7,0.5372410978471585,0.671353688399143,0.7358879196000407,-0.13411259055198455
gemma,120,0,0.60705,0.60696875,0.559125,8.125000000003268e-05
gemma,120,1,0.65696875,0.62263125,0.56478125,0.03433750000000002
gemma,120,2,0.605534375,0.6271375,0.54248125,-0.021603125000000056
gemma,120,3,0.63385,0.5996875,0.5764375,0.034162499999999985
gemma,120,4,0.6111125,0.6047125,0.5604375,0.006399999999999961
gemma,120,5,0.6105781250000001,0.5674375,0.5513125000000001,0.043140625000000044
gemma,120,6,0.5701375,0.60475625,0.5629937500000001,-0.03461875000000003
gemma,120,7,0.5826374999999999,0.6135875,0.555775,-0.030950000000000033
gemma,200,0,0.620084375,0.605625,0.559125,0.014459375000000052
gemma,200,1,0.6462281249999999,0.632675,0.56478125,0.013553124999999944
gemma,200,2,0.57901875,0.61289375,0.54248125,-0.03387499999999999
gemma,200,3,0.5782562499999999,0.5915,0.5764375,-0.01324375000000011
gemma,200,4,0.579284375,0.5987125,0.5604375,-0.01942812500000002
gemma,200,5,0.589075,0.58184375,0.5513125000000001,0.007231250000000022
gemma,200,6,0.5418343750000001,0.6177,0.5629937500000001,-0.07586562499999994
gemma,200,7,0.58879375,0.6089875,0.555775,-0.02019375000000001
gemma,280,0,0.612003125,0.61374375,0.559125,-0.0017406250000000512
gemma,280,1,0.6596875,0.637025,0.56478125,0.02266250000000003
gemma,280,2,0.575678125,0.61560625,0.54248125,-0.03992812499999998
gemma,280,3,0.57095,0.6029500000000001,0.5764375,-0.03200000000000014
gemma,280,4,0.5811468750000001,0.59499375,0.5604375,-0.013846874999999925
gemma,280,5,0.609203125,0.5897749999999999,0.5513125000000001,0.01942812500000002
gemma,280,6,0.554528125,0.6169625,0.5629937500000001,-0.06243437499999993
gemma,280,7,0.5875718750000001,0.6094875,0.555775,-0.021915624999999883
gemma,400,0,0.608453125,0.62084375,0.559125,-0.012390624999999988
gemma,400,1,0.65668125,0.63500625,0.56478125,0.021675
gemma,400,2,0.5870812499999999,0.61513125,0.54248125,-0.02805000000000013
gemma,400,3,0.571115625,0.6090687499999999,0.5764375,-0.03795312499999992
gemma,400,4,0.589846875,0.5964937499999999,0.5604375,-0.006646874999999941
gemma,400,5,0.6131875,0.6007750000000001,0.5513125000000001,0.012412499999999937
gemma,400,6,0.56811875,0.6207625,0.5629937500000001,-0.05264374999999999
gemma,400,7,0.6026125,0.6144625,0.555775,-0.011850000000000027
gemma,550,0,0.608428125,0.62271875,0.559125,-0.014290625000000001
gemma,550,1,0.65373125,0.63730625,0.56478125,0.016425000000000023
gemma,550,2,0.585115625,0.6129625000000001,0.54248125,-0.02784687500000005
gemma,550,3,0.578659375,0.60823125,0.5764375,-0.029571875000000025
gemma,550,4,0.6101343750000001,0.603275,0.5604375,0.006859375000000112
gemma,550,5,0.61078125,0.60670625,0.5513125000000001,0.004075000000000051
gemma,550,6,0.561490625,0.6163500000000001,0.5629937500000001,-0.054859375000000044
gemma,550,7,0.58061875,0.61576875,0.555775,-0.035150000000000015
gemma,760,0,0.5613812499999999,0.6172312499999999,0.559125,-0.055849999999999955
gemma,760,1,0.6211625,0.62899375,0.56478125,-0.007831250000000067
gemma,760,2,0.59155,0.61855625,0.54248125,-0.02700625000000001
gemma,760,3,0.609015625,0.6139062499999999,0.5764375,-0.004890624999999926
gemma,760,4,0.596621875,0.60914375,0.5604375,-0.012521875000000016
gemma,760,5,0.6070437500000001,0.60689375,0.5513125000000001,0.0001500000000000945
gemma,760,6,0.554184375,0.6190875,0.5629937500000001,-0.06490312500000006
gemma,760,7,0.6102156249999999,0.6090312499999999,0.555775,0.0011843750000000153
lfm,120,0,0.6700252993759488,0.7105751391465678,0.8265542249957835,-0.04054983977061899
lfm,120,1,0.5872508683224207,0.6918583735061912,0.7929435312432546,-0.10460750518377049
lfm,120,2,0.6279296875,0.7007039388020834,0.7864583333333335,-0.07277425130208337
lfm,120,3,0.5919588278830076,0.6816013815410762,0.7954277569145584,-0.08964255365806861
lfm,120,4,0.6592203776041667,0.7049424913194444,0.7998996310763888,-0.04572211371527768
lfm,120,5,0.7000303592511385,0.7280958003035927,0.8002428740091078,-0.02806544105245412
lfm,120,6,0.623817621426294,0.728285418216601,0.8109854926134552,-0.10446779679030693
lfm,120,7,0.7264530274919885,0.7039770618991399,0.8186608196997808,0.02247596559284859
lfm,200,0,0.5834778208804182,0.7161207623545286,0.8265542249957835,-0.13264294147411038
lfm,200,1,0.6148344136943114,0.7088061956685264,0.7929435312432546,-0.09397178197421507
