model,template,seed,n,entropy,fis,fusion
sl135,algorithm,0,158,0.7865726646370774,0.5179458420124979,0.7035731453292742
sl135,conjecture,0,50,0.6736,0.6008,0.6568
sl135,constant,0,42,0.7913832199546486,0.8049886621315193,0.8458049886621315
sl135,effect,0,78,0.8356344510190664,0.7376725838264299,0.8642340565417489
sl135,element,0,148,0.7165814463111762,0.5996165084002921,0.6973155588020453
sl135,experiment,0,64,0.7216796875,0.74365234375,0.79443359375
sl135,law,0,48,0.9236111111111112,0.6458333333333334,0.8819444444444444
sl135,paradox,0,66,0.620752984389348,0.5289256198347106,0.6092745638200183
sl135,reaction,0,60,0.3655555555555555,0.6572222222222223,0.5366666666666666
sl135,researcher,0,188,0.7496604798551381,0.7128791308284291,0.781518786781349
sl135,theorem,0,64,0.6982421875,0.59326171875,0.67138671875
sl135,algorithm,1,140,0.756938775510204,0.5621428571428573,0.7006122448979591
sl135,conjecture,1,58,0.629013079667063,0.683115338882283,0.7336504161712247
sl135,constant,1,54,0.8257887517146777,0.4924554183813443,0.7208504801097393
sl135,effect,1,58,0.7312722948870392,0.6480380499405469,0.713436385255648
sl135,element,1,150,0.6915555555555555,0.6099555555555556,0.6835555555555556
sl135,experiment,1,52,0.7485207100591715,0.7322485207100592,0.7899408284023669
sl135,law,1,76,0.896814404432133,0.513157894736842,0.7825484764542936
sl135,paradox,1,50,0.5808,0.6784,0.6792
sl135,reaction,1,72,0.6481481481481481,0.6697530864197531,0.6994598765432098
sl135,researcher,1,178,0.7698522913773513,0.6674662290114883,0.7565332660017673
sl135,theorem,1,72,0.7229938271604939,0.5501543209876543,0.6921296296296297
sl135,algorithm,2,150,0.8,0.5166222222222223,0.7270222222222222
sl135,conjecture,2,64,0.4384765625,0.669921875,0.5712890625
sl135,constant,2,46,0.8015122873345937,0.6379962192816635,0.7476370510396976
sl135,effect,2,80,0.7625,0.731875,0.820625
sl135,element,2,132,0.6306244260789715,0.5725436179981634,0.6228191000918274
sl135,experiment,2,56,0.639030612244898,0.6332908163265305,0.6836734693877551
sl135,law,2,78,0.9289940828402367,0.43293885601577914,0.7514792899408284
sl135,paradox,2,72,0.6813271604938272,0.5123456790123457,0.6307870370370371
sl135,reaction,2,50,0.5536,0.7816,0.7584
sl135,researcher,2,178,0.745612927660649,0.682994571392501,0.7767327357656862
sl135,theorem,2,60,0.6777777777777778,0.5311111111111111,0.658888888888889
sl135,algorithm,3,150,0.762488888888889,0.5956444444444444,0.7231111111111111
sl135,conjecture,3,54,0.6268861454046639,0.5274348422496571,0.5960219478737998
sl135,constant,3,48,0.7777777777777778,0.7447916666666667,0.796875
sl135,effect,3,82,0.7495538370017848,0.6995835812016657,0.758774538964902
sl135,element,3,148,0.6842585829072316,0.6116691015339664,0.6783235938641344
sl135,experiment,3,52,0.7707100591715976,0.871301775147929,0.8646449704142012
sl135,law,3,66,0.923783287419651,0.4857667584940312,0.7988980716253444
sl135,paradox,3,52,0.735207100591716,0.5007396449704142,0.6590236686390533
sl135,reaction,3,68,0.38321799307958476,0.6634948096885813,0.5173010380622838
sl135,researcher,3,182,0.7373505615263856,0.7167008815360464,0.7597512377732157
sl135,theorem,3,62,0.6888657648283039,0.34963579604578565,0.5026014568158168
sl135,algorithm,4,150,0.7767111111111111,0.5895111111111111,0.7469333333333333
sl135,conjecture,4,54,0.5706447187928669,0.6337448559670783,0.6687242798353911
sl135,constant,4,50,0.8623999999999999,0.856,0.9368000000000001
sl135,effect,4,70,0.6506122448979591,0.6481632653061224,0.6893877551020409
sl135,element,4,138,0.6647763074984245,0.5677378701953371,0.6420919974795211
sl135,experiment,4,46,0.7032136105860113,0.727788279773157,0.7693761814744802
sl135,law,4,68,0.9316608996539792,0.5043252595155708,0.7837370242214533
sl135,paradox,4,52,0.6656804733727811,0.5857988165680473,0.6819526627218935
sl135,reaction,4,66,0.3599632690541782,0.59366391184573,0.48989898989898994
sl135,researcher,4,188,0.8012675418741512,0.7258374830239928,0.8236758714350384
sl135,theorem,4,70,0.7461224489795919,0.47632653061224484,0.6489795918367347
sl135,algorithm,5,152,0.7316481994459834,0.5964335180055402,0.7145083102493074
sl135,conjecture,5,48,0.6145833333333334,0.6467013888888888,0.671875
sl135,constant,5,54,0.8930041152263376,0.7613168724279836,0.882716049382716
sl135,effect,5,68,0.7785467128027681,0.7179930795847752,0.782871972318339
sl135,element,5,150,0.7285333333333333,0.6140444444444445,0.714488888888889
sl135,experiment,5,46,0.6805293005671077,0.7362948960302458,0.7429111531190926
sl135,law,5,66,0.935720844811754,0.6014692378328742,0.8480257116620754
sl135,paradox,5,62,0.5379812695109261,0.44536940686784593,0.49843912591050993
sl135,reaction,5,66,0.5059687786960514,0.667584940312213,0.6313131313131313
sl135,researcher,5,176,0.7378615702479339,0.7291451446280991,0.7780216942148761
sl135,theorem,5,64,0.791015625,0.5361328125,0.74462890625
smollm2,algorithm,0,158,0.8767825668963307,0.8881589488863963,0.9152379426373979
smollm2,conjecture,0,54,0.8052126200274349,0.7530864197530864,0.8395061728395061
smollm2,constant,0,44,0.8078512396694215,0.9772727272727273,0.9380165289256198
smollm2,effect,0,76,0.871191135734072,0.935595567867036,0.943213296398892
smollm2,element,0,150,0.7509333333333333,0.7872000000000001,0.808
smollm2,experiment,0,42,0.8888888888888888,0.8752834467120182,0.9126984126984128
smollm2,law,0,40,0.9600000000000001,0.9650000000000001,0.995
smollm2,paradox,0,70,0.8481632653061225,0.5604081632653061,0.7571428571428571
smollm2,reaction,0,50,0.5728,0.7056,0.6496000000000001
smollm2,researcher,0,188,0.9300588501584427,0.9086690810321413,0.9676324128564961
smollm2,theorem,0,62,0.9490114464099896,0.6623309053069718,0.9115504682622269
smollm2,algorithm,1,140,0.850204081632653,0.8179591836734693,0.8895918367346939
smollm2,conjecture,1,58,0.8323424494649228,0.7181926278240189,0.8293697978596908
smollm2,constant,1,52,0.7144970414201184,0.7899408284023669,0.7973372781065089
smollm2,effect,1,56,0.7869897959183674,0.8628826530612245,0.8737244897959183
smollm2,element,1,146,0.7932069806717958,0.7511728279226871,0.8206980671795834
smollm2,experiment,1,44,0.8450413223140496,0.8212809917355373,0.8832644628099173
smollm2,law,1,58,0.9441141498216409,0.797859690844233,0.944114149821641
smollm2,paradox,1,56,0.8813775510204082,0.5963010204081634,0.7997448979591836
smollm2,reaction,1,66,0.6657483930211203,0.7006427915518825,0.7038567493112948
smollm2,researcher,1,176,0.9403409090909091,0.887396694214876,0.9537060950413223
smollm2,theorem,1,74,0.9707815924032139,0.5825420014609204,0.9006574141709277
smollm2,algorithm,2,148,0.8329072315558802,0.8428597516435354,0.8937180423666911
smollm2,conjecture,2,70,0.8220408163265306,0.8926530612244898,0.9130612244897959
smollm2,constant,2,46,0.8393194706994329,0.8497164461247637,0.8638941398865785
smollm2,effect,2,78,0.8632478632478633,0.777120315581854,0.8550295857988166
smollm2,element,2,122,0.8142972319269013,0.7938726148884708,0.8689868314969095
smollm2,experiment,2,50,0.7776,0.8288,0.8456
smollm2,law,2,60,0.9366666666666668,0.7277777777777777,0.966111111111111
smollm2,paradox,2,78,0.8790269559500329,0.6729125575279421,0.8445101906640369
smollm2,reaction,2,46,0.7126654064272212,0.7637051039697542,0.7863894139886579
smollm2,researcher,2,180,0.9306172839506173,0.9176543209876543,0.9646296296296297
smollm2,theorem,2,58,0.9298454221165279,0.6313912009512486,0.8781212841854935
smollm2,algorithm,3,148,0.8290723155588021,0.8327246165084004,0.8849525200876551
smollm2,conjecture,3,64,0.8076171875,0.8857421875,0.8994140625
smollm2,constant,3,48,0.7743055555555556,0.6414930555555557,0.7178819444444444
smollm2,effect,3,78,0.782380013149244,0.5913872452333991,0.7445759368836293
smollm2,element,3,142,0.7286252727633405,0.7682999404879984,0.8037095814322555
smollm2,experiment,3,46,0.7561436672967864,0.5737240075614367,0.6956521739130435
smollm2,law,3,48,0.9652777777777777,0.7274305555555555,0.9409722222222222
smollm2,paradox,3,56,0.8303571428571429,0.5554846938775511,0.7544642857142858
smollm2,reaction,3,64,0.640625,0.57568359375,0.65185546875
smollm2,researcher,3,178,0.953793712915036,0.8115768211084459,0.9460926650675419
smollm2,theorem,3,58,0.9821640903686087,0.40428061831153395,0.7871581450653983
smollm2,algorithm,4,152,0.8253116343490304,0.849376731301939,0.8802804709141274
smollm2,conjecture,4,60,0.8277777777777777,0.7144444444444445,0.8027777777777778
smollm2,constant,4,42,0.8367346938775511,0.9659863945578231,0.9512471655328798
smollm2,effect,4,66,0.8402203856749312,0.8861340679522498,0.8907254361799817
smollm2,element,4,136,0.7939013840830451,0.8081747404844292,0.8425605536332179
