seed,family,condition,detector,auroc,fpr@95tpr,n_pos,n_neg,feat_ms,fit_ms,score_ms_per_1k,n_mfs
0,FalsePremise,raw,FIS · centroid (PCA-free),0.8813877854621995,0.43342776203966005,716,353,1129.396700009238,2251.7134999943664,0.9440598700986609,29.0
0,FalsePremise,matched,FIS · centroid (PCA-free),0.9003806228373703,0.4117647058823529,170,170,1129.396700009238,2251.7134999943664,2.2473529337302725,29.0
0,FalsePremise,raw,FIS · PCA (64 comp),0.6259990187855096,1.0,716,353,90.51419999741483,943.0203999945661,0.9109448021673314,21.0
0,FalsePremise,matched,FIS · PCA (64 comp),0.4307958477508651,1.0,170,170,90.51419999741483,943.0203999945661,2.227352909839657,21.0
0,FalsePremise,raw,Mahalanobis · stats,0.8245248231440012,0.623229461756374,716,353,1.2610999983735383,1.3951000000815839,0.46651077067341845,
0,FalsePremise,matched,Mahalanobis · stats,0.7629757785467128,0.7823529411764706,170,170,1.2610999983735383,1.3951000000815839,0.9576470320633449,
0,FalsePremise,raw,IsolationForest · stats,0.7687142924968742,0.6373937677053825,716,353,1.2610999983735383,104.84189999988303,5.105893359361852,
0,FalsePremise,matched,IsolationForest · stats,0.6792387543252595,0.8235294117647058,170,170,1.2610999983735383,104.84189999988303,9.332647074616569,
0,FalsePremise,raw,OneClassSVM · centroid,0.7773473974076947,0.6487252124645893,716,353,1129.396700009238,4.0683999977773055,5.036950427964783,
0,FalsePremise,matched,OneClassSVM · centroid,0.7569204152249135,0.7058823529411765,170,170,1129.396700009238,4.0683999977773055,5.538235307219164,
0,FalsePremise,raw,perplexity,0.7197920458322122,0.6260623229461756,716,353,0.0,0.0,0.2558465871282124,
0,FalsePremise,matched,perplexity,0.5341176470588236,0.7529411764705882,170,170,0.0,0.0,0.5079411494079977,
0,FalsePremise,raw,mean entropy,0.6916810419864845,0.7280453257790368,716,353,0.0,0.0,0.18203928670257857,
0,FalsePremise,matched,mean entropy,0.5052595155709343,0.788235294117647,170,170,0.0,0.0,0.34176469746264904,
0,FalsePremise,raw,n_tokens (control),0.8532510643012012,0.48441926345609065,716,353,0.0,0.0,0.1433115083135323,
0,FalsePremise,matched,n_tokens (control),0.5,0.9941176470588236,170,170,0.0,0.0,0.3438235366689589,
0,TriviaQA,raw,FIS · centroid (PCA-free),0.5121903441624978,1.0,1974,353,1129.396700009238,2251.7134999943664,0.6488182210352642,29.0
0,TriviaQA,matched,FIS · centroid (PCA-free),0.5221573080596106,1.0,353,353,1129.396700009238,2251.7134999943664,1.3907931968648906,29.0
0,TriviaQA,raw,FIS · PCA (64 comp),0.5576036634893846,1.0,1974,353,90.51419999741483,943.0203999945661,0.4650623137175358,21.0
0,TriviaQA,matched,FIS · PCA (64 comp),0.5371883250808529,1.0,353,353,90.51419999741483,943.0203999945661,1.096458924721884,21.0
0,TriviaQA,raw,Mahalanobis · stats,0.6450097729405788,0.9150141643059491,1974,353,1.2610999983735383,1.3951000000815839,0.2905887398119579,
0,TriviaQA,matched,Mahalanobis · stats,0.6557391520676675,0.8611898016997167,353,353,1.2610999983735383,1.3951000000815839,0.5818696874958956,
0,TriviaQA,raw,IsolationForest · stats,0.6248654606197852,0.9405099150141643,1974,353,1.2610999983735383,104.84189999988303,4.059776538359838,
0,TriviaQA,matched,IsolationForest · stats,0.6385654326734025,0.9291784702549575,353,353,1.2610999983735383,104.84189999988303,6.883711048379467,
0,TriviaQA,raw,OneClassSVM · centroid,0.5237176782592973,0.943342776203966,1974,353,1129.396700009238,4.0683999977773055,3.785990545490927,
0,TriviaQA,matched,OneClassSVM · centroid,0.5431068381898578,0.9490084985835694,353,353,1129.396700009238,4.0683999977773055,4.102832854728059,
0,TriviaQA,raw,perplexity,0.6661629512271426,0.7903682719546742,1974,353,0.0,0.0,0.16398796532343118,
0,TriviaQA,matched,perplexity,0.6824466932565063,0.773371104815864,353,353,0.0,0.0,0.27450425771299863,
0,TriviaQA,raw,mean entropy,0.661379807181748,0.8385269121813032,1974,353,0.0,0.0,0.12247529088751244,
0,TriviaQA,matched,mean entropy,0.6743975154282597,0.8385269121813032,353,353,0.0,0.0,0.21784703534824654,
0,TriviaQA,raw,n_tokens (control),0.5826566899437732,0.9206798866855525,1974,353,0.0,0.0,0.08727976106600312,
0,TriviaQA,matched,n_tokens (control),0.5,0.9830028328611898,353,353,0.0,0.0,0.17832860940270567,
1,FalsePremise,raw,FIS · centroid (PCA-free),0.8894570876920886,0.48725212464589235,716,353,1150.1674000028288,936.075499994331,1.0160898085826464,31.0
1,FalsePremise,matched,FIS · centroid (PCA-free),0.9154948620876149,0.4127906976744186,172,172,1150.1674000028288,936.075499994331,2.297383743584654,31.0
1,FalsePremise,raw,FIS · PCA (64 comp),0.48835994745754663,1.0,716,353,96.43029999278951,919.7259000065969,0.7985032830470989,23.0
1,FalsePremise,matched,FIS · PCA (64 comp),0.3177731206057328,1.0,172,172,96.43029999278951,919.7259000065969,1.8514534996600476,23.0
1,FalsePremise,raw,Mahalanobis · stats,0.795139823064871,0.7450424929178471,716,353,0.855200007208623,2.099999997881241,0.5281571621402847,
