seed,condition,detector,auroc,fpr@95tpr,n_neg,n_pos
0,raw,FIS · centroid (PCA-free),0.6203021207829815,1.0,253,4114
0,raw,OneClassSVM · centroid,0.4825237644138111,0.932806324110672,253,4114
0,raw,Mahalanobis · stats,0.9524308204319196,0.308300395256917,253,4114
0,raw,perplexity,0.9480699280005995,0.33201581027667987,253,4114
0,raw,mean entropy,0.960242764992189,0.31225296442687744,253,4114
0,raw,n_tokens (control),0.8746899145115204,0.4782608695652174,253,4114
0,length,FIS · centroid (PCA-free),0.6200101611264335,1.0,166,166
0,length,OneClassSVM · centroid,0.46773842357381334,0.9457831325301205,166,166
0,length,Mahalanobis · stats,0.9330454347510524,0.5301204819277109,166,166
0,length,perplexity,0.9151183045434751,0.536144578313253,166,166
0,length,mean entropy,0.9534765568297286,0.3674698795180723,166,166
0,length,n_tokens (control),0.5,0.9578313253012049,166,166
0,length+template,FIS · centroid (PCA-free),0.6378052126200275,1.0,135,135
0,length+template,OneClassSVM · centroid,0.5091358024691357,0.9407407407407408,135,135
0,length+template,Mahalanobis · stats,0.9698765432098766,0.14814814814814814,135,135
0,length+template,perplexity,0.941838134430727,0.2740740740740741,135,135
0,length+template,mean entropy,0.9757475994513032,0.14074074074074075,135,135
0,length+template,n_tokens (control),0.5,0.9777777777777777,135,135
1,raw,FIS · centroid (PCA-free),0.8053278019142195,0.7193675889328063,253,4114
1,raw,OneClassSVM · centroid,0.8491903670297702,0.6047430830039525,253,4114
1,raw,Mahalanobis · stats,0.9476760161484643,0.2845849802371542,253,4114
1,raw,perplexity,0.940758539720726,0.35177865612648224,253,4114
1,raw,mean entropy,0.9551372830842721,0.31225296442687744,253,4114
1,raw,n_tokens (control),0.8826113857818958,0.4782608695652174,253,4114
1,length,FIS · centroid (PCA-free),0.7565062754351767,1.0,171,171
1,length,OneClassSVM · centroid,0.8054786088027085,0.5614035087719298,171,171
1,length,Mahalanobis · stats,0.9271570739714783,0.4269005847953216,171,171
1,length,perplexity,0.8791081016381109,0.5847953216374269,171,171
1,length,mean entropy,0.9252761533463287,0.5146198830409356,171,171
1,length,n_tokens (control),0.49999999999999994,0.9590643274853801,171,171
1,length+template,FIS · centroid (PCA-free),0.7598714416896235,1.0,132,132
1,length+template,OneClassSVM · centroid,0.8375229568411386,0.5606060606060606,132,132
1,length+template,Mahalanobis · stats,0.9715335169880625,0.16666666666666666,132,132
1,length+template,perplexity,0.9374426078971534,0.30303030303030304,132,132
1,length+template,mean entropy,0.9683195592286502,0.1590909090909091,132,132
1,length+template,n_tokens (control),0.49999999999999994,0.9772727272727273,132,132
2,raw,FIS · centroid (PCA-free),0.701054530850984,1.0,253,4114
2,raw,OneClassSVM · centroid,0.5662233076682148,0.9209486166007905,253,4114
2,raw,Mahalanobis · stats,0.9532474669546387,0.3359683794466403,253,4114
2,raw,perplexity,0.9478086011133294,0.33992094861660077,253,4114
2,raw,mean entropy,0.9583769678779296,0.3438735177865613,253,4114
2,raw,n_tokens (control),0.8787957249995677,0.48221343873517786,253,4114
2,length,FIS · centroid (PCA-free),0.7111952406706328,1.0,172,172
2,length,OneClassSVM · centroid,0.5450581395348837,0.9593023255813954,172,172
2,length,Mahalanobis · stats,0.9107287723093564,0.5755813953488372,172,172
2,length,perplexity,0.8937601406165495,0.45348837209302323,172,172
2,length,mean entropy,0.9304691725256896,0.4011627906976744,172,172
2,length,n_tokens (control),0.5,0.9593023255813954,172,172
2,length+template,FIS · centroid (PCA-free),0.6282380161963684,1.0,141,141
2,length+template,OneClassSVM · centroid,0.4911221769528696,0.950354609929078,141,141
2,length+template,Mahalanobis · stats,0.9325989638348172,0.5390070921985816,141,141
2,length+template,perplexity,0.9381318847140485,0.2765957446808511,141,141
2,length+template,mean entropy,0.9640360142849957,0.22695035460992907,141,141
2,length+template,n_tokens (control),0.5,0.9787234042553191,141,141
3,raw,FIS · centroid (PCA-free),0.5711524900032857,1.0,253,4114
3,raw,OneClassSVM · centroid,0.6518347645463961,0.7430830039525692,253,4114
3,raw,Mahalanobis · stats,0.9493112307151326,0.33201581027667987,253,4114
3,raw,perplexity,0.9456449682084312,0.35177865612648224,253,4114
3,raw,mean entropy,0.9576602404591668,0.30434782608695654,253,4114
3,raw,n_tokens (control),0.8997201304328611,0.44664031620553357,253,4114
3,length,FIS · centroid (PCA-free),0.6012500000000001,1.0,160,160
3,length,OneClassSVM · centroid,0.6041015625,0.7875,160,160
3,length,Mahalanobis · stats,0.93671875,0.325,160,160
3,length,perplexity,0.9083203125,0.36875,160,160
3,length,mean entropy,0.94921875,0.2375,160,160
3,length,n_tokens (control),0.5,0.95625,160,160
3,length+template,FIS · centroid (PCA-free),0.524388657648283,1.0,124,124
3,length+template,OneClassSVM · centroid,0.5859131113423517,0.8064516129032258,124,124
3,length+template,Mahalanobis · stats,0.956035379812695,0.24193548387096775,124,124
3,length+template,perplexity,0.9343132154006243,0.2661290322580645,124,124
3,length+template,mean entropy,0.9574011446409989,0.25806451612903225,124,124
3,length+template,n_tokens (control),0.5,0.9758064516129032,124,124
4,raw,FIS · centroid (PCA-free),0.7437910845257972,1.0,253,4114
4,raw,OneClassSVM · centroid,0.5799237540375964,0.9288537549407114,253,4114
4,raw,Mahalanobis · stats,0.9524538786866787,0.33201581027667987,253,4114
4,raw,perplexity,0.9454739528189677,0.31225296442687744,253,4114
4,raw,mean entropy,0.9569588852102433,0.308300395256917,253,4114
4,raw,n_tokens (control),0.897063146952179,0.4189723320158103,253,4114
4,length,FIS · centroid (PCA-free),0.7058272632674298,1.0,155,155
4,length,OneClassSVM · centroid,0.6019562955254942,0.9032258064516129,155,155
4,length,Mahalanobis · stats,0.9201248699271591,0.4064516129032258,155,155
4,length,perplexity,0.9058480749219563,0.47096774193548385,155,155
4,length,mean entropy,0.9379812695109261,0.3032258064516129,155,155
4,length,n_tokens (control),0.5,0.9548387096774194,155,155
4,length+template,FIS · centroid (PCA-free),0.7265919999999999,1.0,125,125
4,length+template,OneClassSVM · centroid,0.5961599999999999,0.824,125,125
4,length+template,Mahalanobis · stats,0.937984,0.416,125,125
4,length+template,perplexity,0.930304,0.224,125,125
4,length+template,mean entropy,0.9608960000000001,0.224,125,125
4,length+template,n_tokens (control),0.5,0.976,125,125
5,raw,FIS · centroid (PCA-free),0.7850768896720154,1.0,253,4114
5,raw,OneClassSVM · centroid,0.6648328949062394,0.8142292490118577,253,4114
5,raw,Mahalanobis · stats,0.9481756116682455,0.30039525691699603,253,4114
5,raw,perplexity,0.945941843238455,0.3201581027667984,253,4114
5,raw,mean entropy,0.9581079549057396,0.2845849802371542,253,4114
5,raw,n_tokens (control),0.8828059398064259,0.4743083003952569,253,4114
5,length,FIS · centroid (PCA-free),0.719423428591918,1.0,167,167
5,length,OneClassSVM · centroid,0.6614435799060562,0.7365269461077845,167,167
5,length,Mahalanobis · stats,0.9329843307397182,0.2994011976047904,167,167
5,length,perplexity,0.9219046936067984,0.3772455089820359,167,167
5,length,mean entropy,0.945749220122629,0.2634730538922156,167,167
5,length,n_tokens (control),0.5,0.9580838323353293,167,167
5,length+template,FIS · centroid (PCA-free),0.7003036922585113,1.0,137,137
5,length+template,OneClassSVM · centroid,0.6318930150780542,0.8102189781021898,137,137
5,length+template,Mahalanobis · stats,0.9472001704938995,0.27007299270072993,137,137
5,length+template,perplexity,0.9474132878682934,0.2116788321167883,137,137
5,length+template,mean entropy,0.9615323139218924,0.18248175182481752,137,137
5,length+template,n_tokens (control),0.5,0.9781021897810219,137,137
6,raw,FIS · centroid (PCA-free),0.7800521116557556,1.0,253,4114
6,raw,OneClassSVM · centroid,0.649932458528768,0.782608695652174,253,4114
6,raw,Mahalanobis · stats,0.9511030492620398,0.35177865612648224,253,4114
6,raw,perplexity,0.941683752192936,0.35177865612648224,253,4114
6,raw,mean entropy,0.9531706061054417,0.3557312252964427,253,4114
6,raw,n_tokens (control),0.8863300097421126,0.45454545454545453,253,4114
6,length,FIS · centroid (PCA-free),0.7353497164461248,1.0,161,161
6,length,OneClassSVM · centroid,0.6477759345704256,0.7950310559006211,161,161
6,length,Mahalanobis · stats,0.9280506153311986,0.42857142857142855,161,161
6,length,perplexity,0.8959916669881564,0.422360248447205,161,161
6,length,mean entropy,0.9346090042822423,0.36645962732919257,161,161
6,length,n_tokens (control),0.5000000000000001,0.9565217391304348,161,161
6,length+template,FIS · centroid (PCA-free),0.7544723500961482,1.0,131,131
6,length+template,OneClassSVM · centroid,0.6172134490997028,0.8015267175572519,131,131
6,length+template,Mahalanobis · stats,0.9512266184954257,0.2366412213740458,131,131
6,length+template,perplexity,0.9330458597983801,0.31297709923664124,131,131
6,length+template,mean entropy,0.9617155177437212,0.2366412213740458,131,131
6,length+template,n_tokens (control),0.5,0.9770992366412213,131,131
7,raw,FIS · centroid (PCA-free),0.7769935302380189,1.0,253,4114
7,raw,OneClassSVM · centroid,0.5844047415457869,0.8774703557312253,253,4114
7,raw,Mahalanobis · stats,0.9512471633542843,0.33201581027667987,253,4114
7,raw,perplexity,0.9335537958691136,0.383399209486166,253,4114
7,raw,mean entropy,0.9495456563051836,0.35177865612648224,253,4114
7,raw,n_tokens (control),0.8757400258636758,0.47035573122529645,253,4114
7,length,FIS · centroid (PCA-free),0.7522598140495868,1.0,176,176
7,length,OneClassSVM · centroid,0.6425619834710744,0.8011363636363636,176,176
7,length,Mahalanobis · stats,0.8937887396694214,0.5170454545454546,176,176
7,length,perplexity,0.8728370351239669,0.5738636363636364,176,176
7,length,mean entropy,0.9141593491735537,0.48863636363636365,176,176
7,length,n_tokens (control),0.49999999999999994,0.9602272727272727,176,176
7,length+template,FIS · centroid (PCA-free),0.7241866693116445,1.0,142,142
7,length+template,OneClassSVM · centroid,0.6048899027970641,0.8873239436619719,142,142
7,length+template,Mahalanobis · stats,0.9468855385836145,0.23943661971830985,142,142
7,length+template,perplexity,0.9227335846062289,0.2535211267605634,142,142
7,length+template,mean entropy,0.956457052172188,0.22535211267605634,142,142
7,length+template,n_tokens (control),0.5,0.9788732394366197,142,142
8,raw,FIS · centroid (PCA-free),0.7170367836809045,1.0,253,4114
8,raw,OneClassSVM · centroid,0.6226612684730247,0.83399209486166,253,4114
8,raw,Mahalanobis · stats,0.9615714969226837,0.25691699604743085,253,4114
8,raw,perplexity,0.9553640225894036,0.308300395256917,253,4114
8,raw,mean entropy,0.9643567419454633,0.2766798418972332,253,4114
8,raw,n_tokens (control),0.8958785291139291,0.4426877470355731,253,4114
8,length,FIS · centroid (PCA-free),0.7214383249886209,1.0,169,169
8,length,OneClassSVM · centroid,0.5534470081579776,0.8816568047337278,169,169
8,length,Mahalanobis · stats,0.924897587619481,0.41420118343195267,169,169
8,length,perplexity,0.9152340604320578,0.5562130177514792,169,169
8,length,mean entropy,0.9499317250796542,0.2603550295857988,169,169
8,length,n_tokens (control),0.5,0.9585798816568047,169,169
8,length+template,FIS · centroid (PCA-free),0.6490866562708845,1.0,134,134
8,length+template,OneClassSVM · centroid,0.5501225217197594,0.8731343283582089,134,134
8,length+template,Mahalanobis · stats,0.9595121407885944,0.1865671641791045,134,134
8,length+template,perplexity,0.9614056582757853,0.1417910447761194,134,134
8,length+template,mean entropy,0.9788928491869013,0.13432835820895522,134,134
8,length+template,n_tokens (control),0.5,0.9776119402985075,134,134
9,raw,FIS · centroid (PCA-free),0.6350363455740641,1.0,253,4114
9,raw,OneClassSVM · centroid,0.5939864071588195,0.8695652173913043,253,4114
9,raw,Mahalanobis · stats,0.953397345610573,0.2608695652173913,253,4114
9,raw,perplexity,0.9388658413092477,0.34782608695652173,253,4114
9,raw,mean entropy,0.954507024120856,0.31225296442687744,253,4114
9,raw,n_tokens (control),0.8698664158440956,0.5059288537549407,253,4114
9,length,FIS · centroid (PCA-free),0.6395825075967763,1.0,174,174
9,length,OneClassSVM · centroid,0.5767604703395429,0.9080459770114943,174,174
9,length,Mahalanobis · stats,0.9311335711454617,0.3275862068965517,174,174
9,length,perplexity,0.9054366494913464,0.43103448275862066,174,174
9,length,mean entropy,0.9370128154313647,0.3390804597701149,174,174
9,length,n_tokens (control),0.49999999999999994,0.9597701149425287,174,174
9,length+template,FIS · centroid (PCA-free),0.5792582961162304,1.0,133,133
